player_name,position,team,league,minutes,xg_chain,xg_buildup,final_third_impact,total_contribution,goals,assists,g_plus_a,archetype,quadrant
Valentin Gendrey,DF,Hoffenheim,GER-Bundesliga,1414.0,5.801661241799593,4.248115473426879,1.5535457683727136,10.049776715226471,1,1,2,Architect,Limited
Jonathan Bamba,"FW,MF",Celta Vigo,ESP-La Liga,811.0,5.798606216907501,3.787149213254452,2.011457003653049,9.585755430161953,0,1,1,Balanced,Limited
Cristhian Stuani,FW,Girona,ESP-La Liga,1078.0,5.798142310231924,0.6325159445405006,5.165626365691423,6.430658254772425,11,2,13,Finisher,Limited
Marco Komenda,DF,Holstein Kiel,GER-Bundesliga,1307.0,5.781026259064674,5.20318390801549,0.5778423510491848,10.984210167080164,0,0,0,Architect,Architect
Óscar Rodríguez Arnaiz,"MF,FW",Leganés,ESP-La Liga,1330.0,5.780915940180421,2.6671316027641296,3.1137843374162912,8.44804754294455,1,4,5,Balanced,Limited
Simon Adingra,"FW,MF",Brighton,ENG-Premier League,1097.0,5.763067487627268,2.168390834704041,3.594676652923227,7.931458322331309,2,2,4,Balanced,Limited
Clément Akpa,DF,Auxerre,FRA-Ligue 1,2486.0,5.747673346661031,5.519227394834161,0.22844595182687044,11.266900741495192,0,1,1,Architect,Architect
Nayef Aguerd,DF,Real Sociedad,ESP-La Liga,1760.0,5.742619335651398,4.794124662876129,0.9484946727752686,10.536743998527527,0,0,0,Architect,Architect
Nicolas Viola,"FW,MF",Cagliari,ITA-Serie A,1267.0,5.7125649359077215,2.6841415483504534,3.028423387557268,8.396706484258175,3,1,4,Balanced,Limited
Orri Steinn Óskarsson,FW,Real Sociedad,ESP-La Liga,944.0,5.697332162410021,0.0270324498414993,5.6702997125685215,5.72436461225152,3,0,3,Finisher,Limited
Vitinha,"FW,MF",Genoa,ITA-Serie A,1328.0,5.696292694658041,1.6133615635335443,4.0829311311244965,7.3096542581915855,2,3,5,Balanced,Limited
Leandro Cabrera,DF,Espanyol,ESP-La Liga,2869.0,5.69407269731164,4.897837527096272,0.7962351702153674,10.591910224407911,4,2,6,Architect,Architect
Ismaily,DF,Lille,FRA-Ligue 1,904.0,5.690224297344685,3.8401562459766874,1.8500680513679972,9.530380543321371,0,1,1,Architect,Limited
Pontus Almqvist,"FW,MF",Parma,ITA-Serie A,1112.0,5.689991846680641,2.2183973472565413,3.4715944994241,7.908389193937182,1,1,2,Balanced,Limited
Matías Vecino,MF,Lazio,ITA-Serie A,877.0,5.65881534293294,1.4020736617967486,4.256741681136192,7.060889004729689,2,3,5,Balanced,Limited
Gonçalo Guedes,"MF,FW",Wolves,ENG-Premier League,995.0,5.649957980960608,1.7406257223337889,3.9093322586268195,7.390583703294397,2,4,6,Balanced,Limited
Renato Tapia,"MF,DF",Leganés,ESP-La Liga,2424.0,5.620162697974592,4.955714585259557,0.6644481127150348,10.57587728323415,1,0,1,Architect,Architect
Yukinari Sugawara,"DF,MF",Southampton,ENG-Premier League,1557.0,5.613592414185405,4.167844578623772,1.445747835561633,9.781436992809176,1,1,2,Architect,Limited
Carlens Arcus,DF,Angers,FRA-Ligue 1,2047.0,5.611445492133498,4.199675463140011,1.4117700289934874,9.811120955273509,0,1,1,Architect,Limited
Yves Bissouma,MF,Tottenham,ENG-Premier League,1408.0,5.60918369051069,5.173720224760473,0.43546346575021744,10.782903915271163,2,0,2,Architect,Architect
Omar El Hilali,DF,Espanyol,ESP-La Liga,3153.0,5.609047906473279,4.489122552797198,1.1199253536760807,10.098170459270477,0,2,2,Architect,Limited
Joseph Okumu,DF,Reims,FRA-Ligue 1,1695.0,5.605544378980994,5.54523628950119,0.06030808947980404,11.150780668482184,1,0,1,Architect,Architect
Romain Faivre,"MF,FW",Brest,FRA-Ligue 1,899.0,5.598205116577447,2.80601451639086,2.7921906001865873,8.404219632968307,3,2,5,Balanced,Limited
Romain Del Castillo,FW,Brest,FRA-Ligue 1,1259.0,5.5885985866189,2.804948030039668,2.783650556579232,8.393546616658568,6,4,10,Balanced,Limited
Alberto Moreno,DF,Como,ITA-Serie A,1727.0,5.581042844802141,4.772035701200366,0.8090071436017752,10.353078546002507,0,0,0,Architect,Architect
Antoine Joujou,"MF,FW",Le Havre,FRA-Ligue 1,943.0,5.577205473557115,2.045214200392365,3.5319912731647496,7.62241967394948,0,2,2,Balanced,Limited
Giorgos Kyriakopoulos,DF,Monza,ITA-Serie A,2845.0,5.571459736675024,2.9557580947875977,2.6157016418874264,8.527217831462622,2,4,6,Balanced,Limited
Jay Idzes,DF,Venezia,ITA-Serie A,3127.0,5.570156503468752,4.609417419880629,0.9607390835881233,10.17957392334938,1,0,1,Architect,Limited
Emerson,DF,Milan,ITA-Serie A,1377.0,5.5557965859770775,4.902985647320747,0.6528109386563301,10.458782233297825,0,0,0,Architect,Architect
Iván Sánchez,"MF,FW",Valladolid,ESP-La Liga,1404.0,5.540360562503338,3.337217738851905,2.203142823651433,8.877578301355243,2,1,3,Balanced,Limited
Juan Cuadrado,"DF,MF",Atalanta,ITA-Serie A,832.0,5.509815413504839,3.117791526019573,2.3920238874852657,8.627606939524412,0,2,2,Balanced,Limited
Mats Hummels,DF,Roma,ITA-Serie A,915.0,5.503668360412121,5.38141018897295,0.12225817143917084,10.88507854938507,0,0,0,Architect,Architect
Keinan Davis,FW,Udinese,ITA-Serie A,1066.0,5.503186270594597,1.115274365991354,4.387911904603243,6.618460636585951,2,1,3,Balanced,Limited
Jack Clarke,"FW,MF",Ipswich Town,ENG-Premier League,1181.0,5.49640105292201,1.9239521846175196,3.572448868304491,7.42035323753953,0,4,4,Balanced,Limited
Peque,"MF,FW",Sevilla,ESP-La Liga,1134.0,5.483433924615383,2.278570069000125,3.204863855615258,7.762003993615508,1,1,2,Balanced,Limited
