,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Paris S-G,Gianluigi Donnarumma,ITA,GK,25,1999,23.2,2,0.09,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2425,Paris S-G,Gonçalo Ramos,POR,FW,23,2001,11.8,30,2.54,23,0,0,5,2,0,6,0.51,4,0,0,1,1,0
FRA-Ligue 1,2425,Paris S-G,Ibrahim Mbaye,FRA,"FW,MF",16,2008,3.8,8,2.12,6,0,1,0,0,1,2,0.53,2,0,0,0,0,0
FRA-Ligue 1,2425,Paris S-G,João Neves,POR,"MF,DF",19,2004,20.5,68,3.32,56,1,3,2,3,3,14,0.68,14,0,0,0,0,0
FRA-Ligue 1,2425,Paris S-G,Khvicha Kvaratskhelia,GEO,FW,23,2001,10.2,60,5.89,39,3,9,3,3,3,8,0.79,5,0,2,1,0,0
FRA-Ligue 1,2425,Paris S-G,Lee Kang-in,KOR,"FW,MF",23,2001,18.5,97,5.26,70,21,3,3,0,0,6,0.33,5,1,0,0,0,0
FRA-Ligue 1,2425,Paris S-G,Lucas Beraldo,BRA,DF,20,2003,22.3,22,0.98,22,0,0,0,0,0,3,0.13,3,0,0,0,0,0
FRA-Ligue 1,2425,Paris S-G,Lucas Hernández,FRA,DF,28,1996,9.7,11,1.13,9,1,1,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2425,Paris S-G,Marco Asensio,ESP,"FW,MF",28,1996,6.9,37,5.39,27,2,2,6,0,0,7,1.02,7,0,0,0,0,0
FRA-Ligue 1,2425,Paris S-G,Marquinhos,BRA,DF,30,1994,19.2,31,1.62,28,0,1,0,0,2,1,0.05,0,0,0,0,0,1
FRA-Ligue 1,2425,Paris S-G,Matvei Safonov,RUS,GK,25,1999,9.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2425,Paris S-G,Milan Škriniar,SVK,DF,29,1995,4.2,6,1.41,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2425,Paris S-G,Noham Kamara,FRA,DF,17,2007,0.8,1,1.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2425,Paris S-G,Nuno Mendes,POR,DF,22,2002,18.6,72,3.87,53,6,5,4,3,1,6,0.32,5,1,0,0,0,0
FRA-Ligue 1,2425,Paris S-G,Ousmane Dembélé,FRA,FW,27,1997,19.2,110,5.72,75,16,9,6,3,1,15,0.78,11,0,1,2,1,0
FRA-Ligue 1,2425,Paris S-G,Presnel Kimpembe,FRA,DF,28,1995,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2425,Paris S-G,Randal Kolo Muani,FRA,FW,25,1998,4.0,13,3.27,7,0,1,3,1,1,3,0.75,1,0,0,1,1,0
FRA-Ligue 1,2425,Paris S-G,Senny Mayulu,FRA,MF,18,2006,9.0,38,4.23,28,0,0,5,2,3,6,0.67,6,0,0,0,0,0
FRA-Ligue 1,2425,Paris S-G,Vitinha,POR,MF,24,2000,22.7,73,3.22,66,2,3,2,0,0,4,0.18,2,1,1,0,0,0
FRA-Ligue 1,2425,Paris S-G,Warren Zaïre-Emery,FRA,"MF,DF",18,2006,22.8,52,2.28,47,1,1,3,0,0,4,0.18,2,1,1,0,0,0
FRA-Ligue 1,2425,Paris S-G,Willian Pacho,ECU,DF,22,2001,23.7,13,0.55,11,0,0,1,0,1,3,0.13,2,0,0,1,0,0
FRA-Ligue 1,2425,Paris S-G,Yoram Zague,FRA,"DF,FW",18,2006,2.0,3,1.48,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
