,,,,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Paris S-G,Gonçalo Ramos,POR,FW,23,2001,11.8,1,0,0,8,11,9,1,0,6,1,0,0,18,20,15,57.1
FRA-Ligue 1,2425,Paris S-G,Ibrahim Mbaye,FRA,"FW,MF",16,2008,3.8,0,0,0,6,3,1,5,2,2,0,0,0,10,2,4,33.3
FRA-Ligue 1,2425,Paris S-G,João Neves,POR,"MF,DF",19,2004,20.5,1,0,0,17,33,3,15,23,31,0,0,0,123,21,12,63.6
FRA-Ligue 1,2425,Paris S-G,Khvicha Kvaratskhelia,GEO,FW,23,2001,10.2,0,0,0,12,18,0,33,2,13,0,0,0,27,3,5,37.5
FRA-Ligue 1,2425,Paris S-G,Lee Kang-in,KOR,"FW,MF",23,2001,18.5,1,0,0,21,28,1,94,3,17,0,0,0,73,5,10,33.3
FRA-Ligue 1,2425,Paris S-G,Lucas Beraldo,BRA,DF,20,2003,22.3,6,0,0,22,9,1,3,21,31,0,1,0,115,45,21,68.2
FRA-Ligue 1,2425,Paris S-G,Lucas Hernández,FRA,DF,28,1996,9.7,2,0,0,9,9,0,2,7,18,0,0,1,45,13,6,68.4
FRA-Ligue 1,2425,Paris S-G,Marco Asensio,ESP,"FW,MF",28,1996,6.9,0,0,0,1,4,3,13,0,3,0,0,0,18,1,2,33.3
FRA-Ligue 1,2425,Paris S-G,Marquinhos,BRA,DF,30,1994,19.2,3,0,0,18,7,1,3,11,19,0,1,0,103,32,17,65.3
FRA-Ligue 1,2425,Paris S-G,Matvei Safonov,RUS,GK,25,1999,9.8,0,0,0,0,1,0,0,1,0,0,0,0,15,0,0,
FRA-Ligue 1,2425,Paris S-G,Milan Škriniar,SVK,DF,29,1995,4.2,1,0,0,4,5,1,0,3,5,0,0,0,25,7,5,58.3
FRA-Ligue 1,2425,Paris S-G,Noham Kamara,FRA,DF,17,2007,0.8,0,0,0,0,0,0,0,1,1,0,0,0,4,2,0,100.0
FRA-Ligue 1,2425,Paris S-G,Nuno Mendes,POR,DF,22,2002,18.6,3,0,0,13,23,1,60,18,19,1,1,0,108,15,11,57.7
FRA-Ligue 1,2425,Paris S-G,Ousmane Dembélé,FRA,FW,27,1997,19.2,1,0,0,8,14,9,80,9,5,1,0,0,39,4,6,40.0
FRA-Ligue 1,2425,Paris S-G,Presnel Kimpembe,FRA,DF,28,1995,0.3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
FRA-Ligue 1,2425,Paris S-G,Randal Kolo Muani,FRA,FW,25,1998,4.0,0,0,0,7,7,2,0,0,4,1,0,0,8,9,3,75.0
FRA-Ligue 1,2425,Paris S-G,Senny Mayulu,FRA,MF,18,2006,9.0,1,0,0,20,18,0,9,5,16,0,0,0,32,1,10,9.1
FRA-Ligue 1,2425,Paris S-G,Vitinha,POR,MF,24,2000,22.7,1,0,0,9,12,0,21,14,23,0,0,0,144,1,5,16.7
FRA-Ligue 1,2425,Paris S-G,Warren Zaïre-Emery,FRA,"MF,DF",18,2006,22.8,3,0,0,25,19,1,9,23,26,0,0,0,136,9,14,39.1
FRA-Ligue 1,2425,Paris S-G,Willian Pacho,ECU,DF,22,2001,23.7,2,0,0,20,7,0,0,40,32,0,0,0,119,29,26,52.7
FRA-Ligue 1,2425,Paris S-G,Yoram Zague,FRA,"DF,FW",18,2006,2.0,0,0,0,2,0,0,4,2,6,0,0,0,5,1,1,50.0
