league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
FRA-Ligue 1,2324,2024-05-19 Metz-Paris Saint Germain,5,2023,23668,2024-05-19 19:00:00,180,161,Metz,Paris Saint Germain,PSG,MET,3,2.4625000000000004,2,2.92879,2.92879,1.7215699999999998,6.631578947368421,14,0,0.3973,0,1.20722,1.20722,-1.7215699999999998,22.88235294117647,3
FRA-Ligue 1,2425,2024-08-16 Le Havre-Paris Saint Germain,5,2024,28048,2024-08-16 18:45:00,282,161,Le Havre,Paris Saint Germain,PSG,LHV,3,2.9097,4,2.9098,2.14971,1.9526869999999998,6.842105263157895,7,0,0.051899999999999995,1,0.197023,0.197023,-1.9526869999999998,27.263157894736842,1
FRA-Ligue 1,2425,2024-09-01 Lille-Paris Saint Germain,5,2024,28074,2024-09-01 18:45:00,160,161,Lille,Paris Saint Germain,PSG,LIL,3,2.4628,3,3.24139,2.48129,0.90567,18.0,5,0,0.39699999999999996,1,1.57562,1.57562,-0.90567,16.416666666666668,11
FRA-Ligue 1,2425,2024-09-21 Reims-Paris Saint Germain,5,2024,28086,2024-09-21 19:00:00,177,161,Reims,Paris Saint Germain,PSG,REI,1,2.2634000000000003,1,1.90277,1.90277,1.1424560000000001,5.6521739130434785,13,1,0.5261,1,0.760314,0.760314,-1.1424560000000001,39.81818181818182,2
FRA-Ligue 1,2425,2024-10-06 Nice-Paris Saint Germain,5,2024,28104,2024-10-06 18:45:00,170,161,Nice,Paris Saint Germain,PSG,NIC,1,1.7799999999999998,1,0.822322,0.822322,0.495856,6.346153846153846,13,1,0.8176,1,0.326466,0.326466,-0.495856,28.083333333333332,4
FRA-Ligue 1,2425,2024-10-27 Marseille-Paris Saint Germain,5,2024,28127,2024-10-27 19:45:00,164,161,Marseille,Paris Saint Germain,PSG,MAR,3,2.9675000000000002,3,4.04221,4.04221,3.764259,6.03125,14,0,0.0188,0,0.277951,0.277951,-3.764259,38.27272727272727,1
FRA-Ligue 1,2425,2024-11-09 Angers-Paris Saint Germain,5,2024,28142,2024-11-09 20:00:00,167,161,Angers,Paris Saint Germain,PSG,ANG,3,2.8415,4,4.38095,4.38095,3.1661200000000003,6.129032258064516,19,0,0.1076,2,1.21483,1.21483,-3.1661200000000003,26.8125,7
FRA-Ligue 1,2425,2024-12-06 Auxerre-Paris Saint Germain,5,2024,28166,2024-12-06 20:00:00,275,161,Auxerre,Paris Saint Germain,PSG,AUX,1,2.8532,0,3.04535,3.04535,2.70381,3.8620689655172415,13,1,0.08990000000000001,0,0.34154,0.34154,-2.70381,21.8125,4
FRA-Ligue 1,2425,2024-12-18 Monaco-Paris Saint Germain,5,2024,28183,2024-12-18 20:00:00,171,161,Monaco,Paris Saint Germain,PSG,MON,3,0.9297,4,2.40654,2.40654,0.06471000000000027,8.037037037037036,6,0,1.86,2,3.10193,2.34183,-0.06471000000000027,12.275862068965518,7
FRA-Ligue 1,2425,2025-01-18 Lens-Paris Saint Germain,5,2024,28202,2025-01-18 16:00:00,210,161,Lens,Paris Saint Germain,PSG,LEN,3,1.5374999999999999,2,1.57299,1.57299,0.22398000000000007,6.64,13,0,1.1802000000000001,1,1.34901,1.34901,-0.22398000000000007,19.80952380952381,7
FRA-Ligue 1,2425,2025-02-01 Brest-Paris Saint Germain,5,2024,28220,2025-02-01 16:00:00,241,161,Brest,Paris Saint Germain,PSG,BRE,3,2.8965,5,3.94899,3.94899,3.3125299999999998,9.652173913043478,16,0,0.06989999999999999,2,0.63646,0.63646,-3.3125299999999998,42.5,3
FRA-Ligue 1,2425,2025-02-15 Toulouse-Paris Saint Germain,5,2024,28237,2025-02-15 20:05:00,174,161,Toulouse,Paris Saint Germain,PSG,TOU,3,2.4634,1,2.93281,2.93281,1.73663,4.071428571428571,5,0,0.3985,0,1.19618,1.19618,-1.73663,36.30769230769231,1
FRA-Ligue 1,2425,2025-02-23 Lyon-Paris Saint Germain,5,2024,28254,2025-02-23 19:45:00,178,161,Lyon,Paris Saint Germain,PSG,LYO,3,2.0494,3,2.74583,2.74583,0.9839900000000001,7.291666666666667,9,0,0.7504,2,1.76184,1.76184,-0.9839900000000001,24.444444444444443,9
FRA-Ligue 1,2425,2025-03-08 Rennes-Paris Saint Germain,5,2024,28271,2025-03-08 16:00:00,163,161,Rennes,Paris Saint Germain,PSG,REN,3,2.1845999999999997,4,3.39834,3.39834,1.28912,7.296296296296297,13,0,0.6429,1,2.10922,2.10922,-1.28912,14.392857142857142,7
FRA-Ligue 1,2425,2025-03-29 Saint-Etienne-Paris Saint Germain,5,2024,28287,2025-03-29 18:00:00,175,161,Saint-Etienne,Paris Saint Germain,PSG,SEN,3,2.7757,6,3.96021,3.20012,1.92377,12.947368421052632,11,0,0.1567,1,1.27635,1.27635,-1.92377,16.952380952380953,12
FRA-Ligue 1,2425,2025-04-22 Nantes-Paris Saint Germain,5,2024,28303,2025-04-22 18:45:00,168,161,Nantes,Paris Saint Germain,PSG,NAN,1,2.6264000000000003,1,2.30552,2.30552,1.784594,5.6521739130434785,15,1,0.2477,1,0.520926,0.520926,-1.784594,32.53846153846154,3
FRA-Ligue 1,2425,2025-05-03 Strasbourg-Paris Saint Germain,5,2024,28328,2025-05-03 15:00:00,225,161,Strasbourg,Paris Saint Germain,PSG,STR,0,2.0426,1,2.35931,2.35931,0.9386699999999999,7.576923076923077,10,3,0.7376,2,1.42064,1.42064,-0.9386699999999999,19.36842105263158,3
FRA-Ligue 1,2425,2025-05-10 Montpellier-Paris Saint Germain,5,2024,28341,2025-05-10 19:00:00,166,161,Montpellier,Paris Saint Germain,PSG,MPL,3,2.3852999999999995,4,1.78222,1.02213,0.427659,5.5625,8,0,0.4233,1,0.594471,0.594471,-0.427659,21.904761904761905,1
