minute,player,team,action,start_x,start_y,end_x,end_y,progression,is_successful
36,Alex Berenguer,Athletic Club,pass,69.2,21.2,93.7,48.1,24.5,False
36,Pau Cubarsí,Barcelona,pass,14.1,58.5,28.1,52.8,14.0,True
36,Nico Williams,Athletic Club,pass,73.5,94.7,84.5,78.8,11.0,False
36,Ronald Araújo,Barcelona,pass,16.1,15.8,30.7,20.5,14.6,True
37,Fermín López,Barcelona,pass,47.3,31.1,68.1,92.3,20.8,True
37,Eric García,Barcelona,pass,64.0,15.1,85.1,6.8,21.1,True
38,Óscar De Marcos,Athletic Club,pass,3.7,20.2,33.0,6.5,29.3,False
38,Maroan Sannadi,Athletic Club,pass,36.8,53.6,74.0,92.1,37.2,True
38,Ronald Araújo,Barcelona,pass,28.4,37.3,40.9,35.9,12.5,True
39,Ronald Araújo,Barcelona,pass,39.2,39.1,63.6,21.8,24.4,True
39,Lamine Yamal,Barcelona,pass,65.4,7.9,83.3,7.6,17.9,True
39,Unai Núñez,Athletic Club,pass,8.0,4.3,37.7,6.5,29.7,False
40,Ronald Araújo,Barcelona,pass,45.3,46.0,57.2,39.1,11.9,True
40,Pedri,Barcelona,pass,42.9,32.0,65.5,29.6,22.6,True
41,Eric García,Barcelona,pass,72.1,47.0,95.7,74.3,23.6,True
41,Aitor Paredes,Athletic Club,pass,46.5,51.3,78.5,100.0,32.0,False
42,Fermín López,Barcelona,pass,39.3,59.1,52.1,93.5,12.8,True
42,Alex Berenguer,Athletic Club,pass,34.7,2.0,90.2,23.5,55.5,False
42,Pau Cubarsí,Barcelona,pass,21.1,73.4,40.4,94.4,19.3,True
42,Fermín López,Barcelona,pass,32.3,91.2,46.0,75.6,13.7,True
43,Óscar De Marcos,Athletic Club,pass,43.4,5.2,81.5,33.2,38.1,True
44,Iñaki Peña,Barcelona,pass,3.2,54.3,24.1,35.6,20.9,True
44,Ronald Araújo,Barcelona,pass,24.7,35.0,44.6,17.0,19.9,True
44,Lamine Yamal,Barcelona,pass,45.6,25.6,87.5,88.2,41.9,True
45,Iñaki Peña,Barcelona,pass,5.2,55.5,21.3,53.4,16.1,True
45,Pedri,Barcelona,pass,21.2,54.8,33.2,72.9,12.0,True
45,Gavi,Barcelona,pass,34.6,46.0,46.4,54.4,11.8,True
45,Pedri,Barcelona,pass,46.7,54.0,60.8,97.5,14.1,True
45,Raphinha,Barcelona,pass,44.5,94.2,57.2,76.5,12.7,False
45,Unai Simón,Athletic Club,pass,18.9,48.4,64.1,66.5,45.2,False
46,Ronald Araújo,Barcelona,pass,44.9,42.1,58.1,41.8,13.2,True
46,Fermín López,Barcelona,pass,34.1,5.6,65.1,27.5,31.0,False
46,Unai Simón,Athletic Club,pass,12.6,38.3,71.1,54.5,58.5,False
46,Ronald Araújo,Barcelona,pass,26.1,32.6,37.6,26.0,11.5,True
47,Fermín López,Barcelona,pass,43.6,78.8,62.7,93.0,19.1,True
47,Raphinha,Barcelona,pass,70.3,90.5,90.1,45.2,19.8,True
47,Unai Simón,Athletic Club,pass,5.1,50.3,60.0,58.2,54.9,True
48,Nico Williams,Athletic Club,pass,55.4,50.3,65.5,43.4,10.1,True
48,Ronald Araújo,Barcelona,pass,34.3,42.2,44.9,10.0,10.6,True
48,Eric García,Barcelona,pass,13.5,11.9,31.8,20.9,18.3,True
49,Eric García,Barcelona,pass,32.3,21.4,45.0,4.9,12.7,True
49,Ronald Araújo,Barcelona,pass,37.6,27.4,49.7,40.4,12.1,True
49,Aitor Paredes,Athletic Club,pass,38.7,66.9,63.3,73.5,24.6,True
50,Yuri Berchiche,Athletic Club,pass,54.9,68.1,93.0,3.8,38.1,True
50,Pedri,Barcelona,pass,23.1,79.7,42.6,94.1,19.5,True
50,Alejandro Balde,Barcelona,pass,63.6,89.7,73.7,95.0,10.1,True
50,Pedri,Barcelona,pass,66.8,60.3,81.6,9.1,14.8,True
50,Lamine Yamal,Barcelona,pass,81.8,13.9,92.8,48.4,11.0,False
51,Yuri Berchiche,Athletic Club,pass,41.5,91.7,54.4,100.0,12.9,False
51,Ronald Araújo,Barcelona,pass,32.0,31.0,45.0,54.9,13.0,True
52,Iñaki Peña,Barcelona,pass,13.5,42.4,37.0,43.9,23.5,True
52,Lamine Yamal,Barcelona,pass,63.5,7.6,82.0,9.4,18.5,True
52,Íñigo Ruíz de Galarreta,Athletic Club,pass,21.5,72.8,35.8,75.2,14.3,False
53,Ronald Araújo,Barcelona,pass,45.7,32.3,65.5,5.0,19.8,True
53,Gavi,Barcelona,pass,46.9,26.6,57.9,36.1,11.0,True
53,Eric García,Barcelona,pass,45.1,5.6,96.3,16.7,51.2,True
53,Yuri Berchiche,Athletic Club,pass,10.2,80.9,27.0,74.7,16.8,False
54,Unai Simón,Athletic Club,pass,5.3,41.6,63.0,36.8,57.7,False
54,Gavi,Barcelona,pass,33.3,69.3,43.9,85.7,10.6,True
54,Mikel Jauregizar,Athletic Club,pass,28.3,79.5,60.9,98.4,32.6,True
54,Ronald Araújo,Barcelona,pass,36.4,10.6,56.8,6.7,20.4,True
54,Eric García,Barcelona,pass,56.8,6.7,67.0,5.9,10.2,True
54,Pedri,Barcelona,pass,44.2,36.2,66.8,86.4,22.6,True
55,Óscar De Marcos,Athletic Club,pass,52.8,22.3,70.9,9.4,18.1,True
56,Iñaki Peña,Barcelona,pass,3.7,44.6,20.9,41.2,17.2,True
56,Eric García,Barcelona,pass,33.2,11.5,43.4,5.9,10.2,True
56,Mikel Jauregizar,Athletic Club,pass,53.3,55.5,65.4,30.4,12.1,True
56,Óscar De Marcos,Athletic Club,pass,67.5,37.4,85.3,47.3,17.8,False
56,Gavi,Barcelona,pass,39.0,30.2,52.6,5.0,13.6,True
57,Eric García,Barcelona,pass,10.4,10.9,27.1,6.2,16.7,True
58,Gavi,Barcelona,pass,26.0,22.6,41.2,44.9,15.2,False
58,Unai Núñez,Athletic Club,pass,65.4,44.6,82.6,0.4,17.2,True
58,Pedri,Barcelona,pass,12.5,72.3,25.1,84.8,12.6,True
58,Fermín López,Barcelona,pass,40.5,71.3,65.1,55.8,24.6,True
59,Pedri,Barcelona,pass,74.8,84.3,85.8,90.3,11.0,True
60,Raphinha,Barcelona,pass,35.6,14.8,55.5,14.9,19.9,False
60,Unai Núñez,Athletic Club,pass,41.3,79.5,67.5,43.1,26.2,False
60,Íñigo Ruíz de Galarreta,Athletic Club,pass,62.6,41.9,84.3,2.3,21.7,True
61,Pau Cubarsí,Barcelona,pass,26.4,64.0,38.3,75.0,11.9,True
61,Eric García,Barcelona,pass,35.7,12.8,73.5,0.0,37.8,False
62,Dani Vivian,Athletic Club,pass,18.1,58.7,36.3,59.1,18.2,True
62,Óscar De Marcos,Athletic Club,pass,48.3,28.1,71.1,1.9,22.8,True
62,Alex Berenguer,Athletic Club,pass,79.6,28.6,93.3,40.7,13.7,False
62,Iñaki Peña,Barcelona,pass,14.2,58.1,24.4,82.4,10.2,True
62,Eric García,Barcelona,pass,11.7,5.8,28.0,6.4,16.3,True
63,Iñaki Peña,Barcelona,pass,9.3,61.7,20.1,36.5,10.8,True
64,Pedri,Barcelona,pass,38.0,37.4,52.6,43.0,14.6,True
65,Fermín López,Barcelona,pass,69.3,35.0,96.1,34.7,26.8,False
65,Unai Simón,Athletic Club,pass,14.7,62.0,28.4,62.9,13.7,True
65,Beñat Prados,Athletic Club,pass,44.6,33.1,59.7,3.4,15.1,True
65,Mikel Jauregizar,Athletic Club,pass,61.0,37.4,81.0,85.8,20.0,True
66,Iñaki Peña,Barcelona,pass,3.7,43.6,57.4,22.7,53.7,False
66,Yuri Berchiche,Athletic Club,pass,49.4,78.8,72.0,78.8,22.6,True
66,Lamine Yamal,Barcelona,pass,39.5,5.5,54.8,22.0,15.3,True
67,Dani Olmo,Barcelona,pass,59.9,54.6,72.7,54.5,12.8,True
67,Pedri,Barcelona,pass,75.0,54.5,86.1,81.3,11.1,True
68,Unai Simón,Athletic Club,pass,5.1,38.2,64.7,31.3,59.6,True
68,Aitor Paredes,Athletic Club,pass,42.2,48.5,71.6,83.1,29.4,False
68,Andreas Christensen,Barcelona,pass,16.4,10.6,51.7,34.6,35.3,False
68,Dani Vivian,Athletic Club,pass,52.6,60.0,66.1,47.8,13.5,True
68,Beñat Prados,Athletic Club,pass,74.2,42.5,87.8,36.7,13.6,True
69,Pau Cubarsí,Barcelona,pass,7.4,75.0,28.4,31.0,21.0,True
69,Yuri Berchiche,Athletic Club,pass,62.9,63.5,80.2,51.3,17.3,True
69,Gavi,Barcelona,pass,44.7,32.9,57.9,8.3,13.2,True
69,Óscar De Marcos,Athletic Club,pass,18.1,30.7,30.8,31.3,12.7,True
70,Óscar De Marcos,Athletic Club,pass,31.8,17.6,78.6,15.5,46.8,False
70,Pau Cubarsí,Barcelona,pass,16.5,90.2,30.1,73.5,13.6,True
70,Gavi,Barcelona,pass,38.3,32.5,50.2,25.9,11.9,True
70,Maroan Sannadi,Athletic Club,pass,56.1,28.6,68.2,2.6,12.1,True
71,Alex Berenguer,Athletic Club,pass,74.7,5.2,91.7,43.1,17.0,True
71,Lamine Yamal,Barcelona,pass,47.8,27.4,69.8,49.6,22.0,False
71,Eric García,Barcelona,pass,42.8,10.7,54.3,3.7,11.5,True
72,Eric García,Barcelona,pass,18.9,12.7,34.6,27.8,15.7,True
72,Iñaki Peña,Barcelona,pass,10.9,31.9,34.0,34.3,23.1,True
73,Unai Simón,Athletic Club,pass,5.0,38.6,75.9,4.0,70.9,False
73,Pau Cubarsí,Barcelona,pass,20.9,86.6,31.0,87.3,10.1,True
75,Eric García,Barcelona,pass,45.8,12.2,95.5,23.8,49.7,False
