minute,second,player,team,x,y,end_x,end_y,pass_distance,is_progressive,is_successful,is_cross,is_through_ball,field_zone,pass_length
3,28.0,Gavi,Barcelona,45.5,9.5,40.2,29.6,20.8,False,True,False,False,Middle_Left,
3,33.0,Ronald Araújo,Barcelona,36.7,30.2,40.7,38.2,8.9,False,True,False,False,Middle_Left,
3,35.0,Pedri,Barcelona,40.9,37.9,77.6,10.3,45.9,True,False,False,False,Middle_Center,
3,49.0,Yuri Berchiche,Athletic Club,32.6,100.0,30.2,81.3,18.9,False,True,False,False,Defensive_Right,
3,51.0,Unai Gómez,Athletic Club,31.3,75.5,27.4,65.0,11.2,False,True,False,False,Defensive_Right,
3,53.0,Íñigo Ruíz de Galarreta,Athletic Club,25.9,62.3,7.2,49.3,22.8,False,True,False,False,Defensive_Center,
3,55.0,Unai Simón,Athletic Club,6.8,49.3,34.0,1.9,54.6,True,True,False,False,Defensive_Center,
3,59.0,Óscar De Marcos,Athletic Club,34.0,1.9,60.8,4.6,26.9,True,True,False,False,Middle_Left,
4,4.0,Maroan Sannadi,Athletic Club,69.4,22.9,62.9,22.0,6.6,False,True,False,False,Attacking_Left,
4,6.0,Íñigo Ruíz de Galarreta,Athletic Club,63.0,18.5,70.9,2.3,18.0,False,True,False,False,Middle_Left,
4,7.0,Óscar De Marcos,Athletic Club,66.5,2.9,71.8,20.1,18.0,False,True,False,False,Middle_Left,
4,46.0,Pau Cubarsí,Barcelona,31.3,63.6,31.7,26.0,37.6,False,True,False,False,Defensive_Center,
4,48.0,Ronald Araújo,Barcelona,30.9,25.4,39.5,11.6,16.3,False,True,False,False,Defensive_Left,
4,50.0,Eric García,Barcelona,40.4,10.3,35.2,24.5,15.1,False,True,False,False,Middle_Left,
4,58.0,Ronald Araújo,Barcelona,39.4,31.9,45.8,39.7,10.1,False,True,False,False,Middle_Left,
4,59.0,Fermín López,Barcelona,45.8,39.8,47.5,31.9,8.1,False,False,False,False,Middle_Center,
5,6.0,Eric García,Barcelona,30.9,0.0,25.6,19.3,20.0,False,True,False,False,Defensive_Left,
5,16.0,Ronald Araújo,Barcelona,42.1,38.8,51.8,94.4,56.4,False,True,False,False,Middle_Center,
5,19.0,Alejandro Balde,Barcelona,51.8,94.4,58.3,95.6,6.6,False,True,False,False,Middle_Right,
5,20.0,Raphinha,Barcelona,58.3,95.6,52.7,91.2,7.1,False,True,False,False,Middle_Right,
5,23.0,Alejandro Balde,Barcelona,52.7,91.2,40.4,72.2,22.6,False,True,False,False,Middle_Right,
5,25.0,Pau Cubarsí,Barcelona,39.9,72.2,49.7,68.9,10.3,False,True,False,False,Middle_Right,
5,26.0,Gavi,Barcelona,49.7,68.9,37.0,43.1,28.8,False,True,False,False,Middle_Right,
5,31.0,Ronald Araújo,Barcelona,46.1,31.7,63.1,5.9,30.9,True,True,False,False,Middle_Left,
5,34.0,Lamine Yamal,Barcelona,67.4,5.5,93.2,31.6,36.7,True,False,False,False,Attacking_Left,
5,50.0,Unai Simón,Athletic Club,6.9,48.7,47.8,26.3,46.6,True,False,False,False,Defensive_Center,
5,52.0,Pau Cubarsí,Barcelona,53.9,78.9,63.8,92.3,16.7,False,True,False,False,Middle_Right,
5,58.0,Alejandro Balde,Barcelona,72.9,77.7,92.9,63.3,24.6,True,False,False,False,Attacking_Right,
6,4.0,Unai Simón,Athletic Club,14.2,48.9,41.9,62.6,30.9,True,True,False,False,Defensive_Center,
6,8.0,Yuri Berchiche,Athletic Club,30.6,76.7,39.9,70.4,11.2,False,True,False,False,Defensive_Right,
6,10.0,Unai Gómez,Athletic Club,40.6,69.2,37.9,73.5,5.1,False,True,False,False,Middle_Right,
6,12.0,Mikel Jauregizar,Athletic Club,36.7,71.7,48.5,97.1,28.0,True,True,False,False,Middle_Right,
6,33.0,Yuri Berchiche,Athletic Club,44.0,100.0,49.0,95.0,7.1,False,True,False,False,Middle_Right,
7,30.0,Yuri Berchiche,Athletic Club,50.4,76.1,53.1,72.2,4.7,False,True,False,False,Middle_Right,
7,30.0,Mikel Jauregizar,Athletic Club,52.7,71.6,34.5,63.8,19.8,False,True,False,False,Middle_Right,
7,33.0,Aitor Paredes,Athletic Club,34.2,62.3,18.8,48.4,20.7,False,True,False,False,Middle_Center,
7,36.0,Unai Simón,Athletic Club,19.1,47.9,59.3,28.7,44.5,True,True,False,False,Defensive_Center,
7,43.0,Íñigo Ruíz de Galarreta,Athletic Club,53.1,33.1,69.3,91.1,60.2,True,True,False,False,Middle_Left,
8,16.0,Iñaki Peña,Barcelona,4.5,57.8,24.8,39.5,27.3,True,True,False,False,Defensive_Center,
8,17.0,Ronald Araújo,Barcelona,36.7,34.1,45.2,50.0,18.0,False,True,False,False,Middle_Center,
8,18.0,Pedri,Barcelona,45.2,50.3,38.8,38.0,13.9,False,True,False,False,Middle_Center,
8,22.0,Ronald Araújo,Barcelona,41.0,35.9,42.7,18.1,17.9,False,True,False,False,Middle_Center,
