minute,second,player,team,event_type,x,y,is_successful,field_zone,defensive_third,middle_third,attacking_third
82,36.0,Maroan Sannadi,Athletic Club,Aerial,88.9,44.4,True,Attacking_Center,False,False,True
82,36.0,Gerard Martín,Barcelona,Aerial,11.1,55.6,False,Defensive_Center,True,False,False
83,23.0,Eric García,Barcelona,Clearance,8.5,26.3,True,Defensive_Left,True,False,False
84,3.0,Dani Olmo,Barcelona,Clearance,11.4,35.8,True,Defensive_Center,True,False,False
85,49.0,Pau Cubarsí,Barcelona,Aerial,30.1,65.4,True,Defensive_Center,True,False,False
85,49.0,Maroan Sannadi,Athletic Club,Aerial,69.9,34.6,False,Attacking_Center,False,False,True
85,49.0,Pau Cubarsí,Barcelona,Clearance,26.4,63.2,True,Defensive_Center,True,False,False
85,56.0,Gavi,Barcelona,Tackle,12.2,81.2,False,Defensive_Right,True,False,False
85,58.0,Gavi,Barcelona,Clearance,3.9,83.7,True,Defensive_Right,True,False,False
89,25.0,Gerard Martín,Barcelona,Interception,15.8,49.7,True,Defensive_Center,True,False,False
89,26.0,Frenkie de Jong,Barcelona,Clearance,18.5,50.6,True,Defensive_Center,True,False,False
