x,y,end_x,end_y,xthreat,action_type
65.2,61.5,76.1,60.7,0.0,carry
48.3,14.8,59.7,15.7,0.01107870135,carry
82.8,69.4,90.7,83.2,0.01825330904,carry
56.3,14.1,68.8,15.0,0.0,carry
75.9,9.1,83.3,9.4,0.0,carry
63.6,26.1,85.8,23.5,0.0,carry
80.1,74.2,93.6,75.4,0.0,carry
67.0,34.5,87.9,39.8,0.0,carry
56.8,38.6,62.6,42.4,0.0217055630399999,carry
70.3,21.6,88.7,39.7,0.0,carry
39.1,61.8,52.5,75.3,0.1908144154799999,carry
68.8,28.8,87.3,31.3,0.0,carry
43.5,95.4,52.8,96.3,0.1742778670399998,carry
62.2,56.1,75.1,24.0,0.0,carry
43.5,65.1,81.3,60.7,0.0,carry
46.2,48.3,52.5,44.8,0.0095174451399999,carry
83.7,36.5,89.8,37.9,0.0,carry
75.8,47.2,85.5,47.6,0.0,carry
60.4,3.7,74.7,16.4,0.0033258645199999,pass
59.3,47.5,69.0,49.4,0.0,pass
77.5,48.7,89.0,58.2,0.0,pass
71.6,54.9,87.7,65.5,0.0,pass
60.1,7.1,91.9,15.5,0.0,pass
99.5,0.5,97.9,37.3,0.0228244518999999,pass
44.9,50.5,80.8,56.0,0.0,pass
52.4,25.6,66.5,85.4,0.41234936146,pass
77.6,29.3,86.3,40.1,0.0026393454499999,pass
63.6,20.7,68.5,35.5,0.0277161700299999,pass
55.4,58.7,93.7,75.2,0.0,pass
86.2,0.0,90.6,27.2,0.0158922912,pass
78.1,37.2,90.7,37.4,0.0,pass
40.4,75.3,73.5,23.9,0.0,pass
40.6,23.1,85.9,16.8,0.0,pass
52.2,6.2,62.3,8.5,0.0076583425599999,pass
62.4,4.9,68.9,14.4,0.0065128708799999,pass
69.0,38.5,91.4,50.0,0.0,pass
73.8,28.6,80.6,49.4,0.03401096104,pass
81.8,32.8,90.0,46.4,0.0096380713599999,pass
67.1,52.8,86.0,33.8,0.0,pass
70.0,48.8,92.2,67.8,0.0,pass
69.2,50.1,79.3,55.4,0.0,pass
37.8,15.8,58.7,14.1,0.01987580456,pass
44.1,62.3,63.3,79.1,0.2824012775599999,pass
38.5,48.4,72.2,81.7,0.25306679366,pass
46.3,49.1,71.9,86.3,0.2689614928799999,pass
33.2,55.4,50.8,47.3,0.0440020789999999,pass
70.9,31.9,80.6,60.1,0.05560318569,pass
74.8,23.9,81.9,52.1,0.0456140921699999,pass
69.1,31.6,90.1,74.1,0.06363001197,pass
71.2,70.3,86.6,78.5,0.0,pass
67.6,40.3,77.5,37.6,0.0,pass
61.3,3.2,67.9,20.1,0.02143786214,pass
57.8,13.2,72.2,10.7,0.0,pass
75.9,27.0,88.9,34.2,0.0,pass
62.8,35.5,72.5,48.2,0.0138337429,pass
77.4,40.4,89.6,33.7,0.0,pass
71.6,51.3,81.0,49.0,0.0,pass
61.2,66.9,75.5,77.0,0.0,pass
61.2,44.9,70.8,57.0,0.02536986028,pass
52.3,50.3,62.3,48.3,0.01539619012,pass
49.9,49.7,68.9,59.4,0.0633454922699999,pass
73.2,50.0,86.4,67.9,0.0103396892,pass
82.9,7.6,96.9,51.9,0.0300103514799999,pass
51.8,9.7,65.8,4.6,0.0,pass
72.7,38.7,97.7,74.1,0.0105617980999999,pass
72.0,58.8,87.8,69.0,0.0,pass
40.0,55.1,71.2,85.6,0.27951751208,pass
45.5,53.4,87.5,88.4,0.1055288923000001,pass
32.2,31.7,78.8,35.2,0.02428950852,pass
57.6,29.9,66.3,52.3,0.0930915456499999,pass
43.6,57.0,87.2,75.4,0.02970521568,pass
71.0,55.2,87.1,66.3,0.0,pass
52.5,44.8,87.5,71.7,0.0202809817500001,pass
64.6,40.0,73.2,45.5,0.0,pass
38.6,5.8,54.9,11.4,0.02236376928,pass
41.3,18.5,58.3,10.1,0.00612161647,pass
63.1,38.5,76.5,27.9,0.0,pass
54.4,42.7,70.4,20.6,0.0,pass
56.6,27.1,79.4,7.7,0.0,pass
45.3,34.0,77.4,25.2,0.0,pass
46.9,80.8,64.2,77.3,0.1072408839,pass
44.4,48.8,71.9,69.6,0.13257548224,pass
53.3,32.5,75.8,18.9,0.0,pass
62.0,35.1,72.8,52.2,0.03116510968,pass
40.9,40.7,60.1,15.8,0.0,pass
55.4,45.4,85.6,81.1,0.06976431212,pass
83.2,0.0,82.0,18.5,0.01589608,pass
63.5,27.9,89.8,87.2,0.1275156250100001,pass
99.5,99.5,77.4,48.4,0.0,pass
77.3,34.0,90.4,30.6,0.0,pass
72.2,35.4,81.5,46.6,4.619918000003942e-05,pass
55.6,26.7,68.4,37.3,0.0255063305599999,pass
50.1,27.7,67.2,30.1,0.01280842236,pass
56.3,25.3,68.6,31.9,0.01003452257,pass
54.4,21.5,73.7,13.8,0.0,pass
65.4,39.4,75.5,63.1,0.05950732986,pass
69.8,50.7,80.9,53.6,0.0,pass
70.8,60.3,86.6,48.2,0.0,pass
66.7,69.3,75.1,56.0,0.0,pass
48.5,45.5,80.6,15.0,0.0,pass
53.8,43.4,92.1,90.6,0.0887865229000001,pass
32.5,6.7,67.6,10.1,0.02305711185,pass
66.5,24.9,87.6,13.5,0.0,pass
47.3,45.7,85.5,80.0,0.0919170544900001,pass
55.7,42.4,72.3,33.0,0.0,pass
