x,y,entry_x,entry_y,entry_type,outcome
78.4,29.9,87.5,46.4,Pass,shot
88.1,20.7,96.0,25.0,Carry,shot
99.5,0.5,98.1,40.9,Pass,shot
62.3,49.3,83.9,34.0,Pass,shot
75.9,27.3,84.5,71.5,Pass,shot
78.3,60.4,87.2,74.7,Pass,shot
69.9,43.2,91.3,76.5,Pass,shot
75.2,44.6,85.5,52.1,Pass,shot
71.6,62.3,86.1,34.0,Pass,shot
79.7,63.6,87.5,56.1,Pass,shot
77.1,53.4,87.7,21.2,Pass,shot
80.7,53.7,90.8,75.1,Pass,shot
82.5,53.3,86.1,49.0,Pass,shot
76.5,29.7,93.0,49.7,Carry,shot
74.3,39.2,86.0,43.3,Pass,shot
51.7,14.6,90.5,29.3,Pass,shot
75.5,64.1,85.5,75.7,Pass,shot
92.1,83.8,94.2,77.3,Carry,shot
61.0,38.0,97.4,26.4,Pass,shot
83.7,18.1,94.8,43.6,Pass,shot
35.0,31.1,88.1,66.2,Pass,shot
78.6,37.8,93.9,32.2,Pass,shot
76.9,49.1,88.5,70.4,Pass,shot
61.6,51.9,85.6,61.0,Pass,shot
70.2,72.4,97.3,72.0,Pass,shot
73.5,28.9,94.5,49.2,Pass,shot
75.2,51.6,86.7,64.6,Pass,shot
76.8,40.1,92.4,44.2,Pass,shot
75.4,49.8,91.4,66.4,Pass,shot
46.6,49.0,85.8,25.0,Pass,shot
77.3,23.4,86.3,36.6,Pass,shot
56.0,34.0,85.9,57.9,Pass,shot
79.2,65.8,93.7,76.5,Pass,shot
65.0,21.3,89.7,21.5,Pass,shot
63.6,26.1,85.8,23.5,Carry,shot
80.1,74.2,93.6,75.4,Carry,shot
99.5,99.5,88.3,48.3,Pass,shot
77.6,1.6,90.5,37.3,Pass,shot
91.5,81.2,94.3,76.5,Carry,shot
73.9,48.1,92.5,33.1,Pass,shot
80.6,55.7,88.5,65.2,Pass,shot
79.5,39.1,87.1,62.4,Pass,shot
76.1,74.5,91.6,72.6,Pass,shot
67.0,34.5,87.9,39.8,Carry,shot
70.3,21.6,88.7,39.7,Carry,shot
74.9,34.5,90.4,39.0,Pass,shot
68.8,28.8,87.3,31.3,Carry,shot
62.6,38.3,92.3,70.9,Pass,shot
79.7,42.7,86.6,76.3,Pass,shot
73.3,66.1,90.8,47.0,Pass,shot
75.4,35.0,84.2,49.1,Pass,shot
99.5,99.5,86.6,34.8,Pass,shot
99.6,0.7,86.0,68.7,Pass,shot
73.6,18.3,97.0,26.0,Pass,shot
75.2,6.0,89.3,41.1,Pass,shot
71.6,32.8,83.7,36.5,Pass,shot
75.8,47.2,85.5,47.6,Carry,shot
