,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Paris S-G,Gonçalo Ramos,POR,FW,23,2001,11.8,11,6,5,5,1,3,6,50.0,3,5,1,4,0,11,5,0
FRA-Ligue 1,2425,Paris S-G,Ibrahim Mbaye,FRA,"FW,MF",16,2008,3.8,4,2,1,2,1,3,8,37.5,5,2,0,2,2,6,2,0
FRA-Ligue 1,2425,Paris S-G,João Neves,POR,"MF,DF",19,2004,20.5,63,31,20,26,17,27,45,60.0,18,29,9,20,23,86,22,1
FRA-Ligue 1,2425,Paris S-G,Khvicha Kvaratskhelia,GEO,FW,23,2001,10.2,19,13,4,12,3,13,23,56.5,10,7,0,7,2,21,4,0
FRA-Ligue 1,2425,Paris S-G,Lee Kang-in,KOR,"FW,MF",23,2001,18.5,25,17,7,11,7,19,35,54.3,16,11,1,10,3,28,3,1
FRA-Ligue 1,2425,Paris S-G,Lucas Beraldo,BRA,DF,20,2003,22.3,38,31,30,8,0,23,37,62.2,14,16,8,8,21,59,63,3
FRA-Ligue 1,2425,Paris S-G,Lucas Hernández,FRA,DF,28,1996,9.7,24,18,13,9,2,14,23,60.9,9,12,5,7,7,31,37,2
FRA-Ligue 1,2425,Paris S-G,Marco Asensio,ESP,"FW,MF",28,1996,6.9,4,3,1,3,0,0,6,0.0,6,1,0,1,0,4,1,0
FRA-Ligue 1,2425,Paris S-G,Marquinhos,BRA,DF,30,1994,19.2,30,19,8,16,6,25,33,75.8,8,27,15,12,11,41,64,0
FRA-Ligue 1,2425,Paris S-G,Matvei Safonov,RUS,GK,25,1999,9.8,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0
FRA-Ligue 1,2425,Paris S-G,Milan Škriniar,SVK,DF,29,1995,4.2,7,5,3,4,0,3,3,100.0,0,7,6,1,3,10,16,0
FRA-Ligue 1,2425,Paris S-G,Noham Kamara,FRA,DF,17,2007,0.8,1,1,0,1,0,0,0,,0,1,1,0,1,2,1,0
FRA-Ligue 1,2425,Paris S-G,Nuno Mendes,POR,DF,22,2002,18.6,30,19,15,12,3,23,39,59.0,16,25,8,17,18,48,37,2
FRA-Ligue 1,2425,Paris S-G,Ousmane Dembélé,FRA,FW,27,1997,19.2,11,5,0,7,4,4,12,33.3,8,3,0,3,9,20,2,1
FRA-Ligue 1,2425,Paris S-G,Presnel Kimpembe,FRA,DF,28,1995,0.3,1,0,1,0,0,0,0,,0,2,2,0,0,1,1,0
FRA-Ligue 1,2425,Paris S-G,Randal Kolo Muani,FRA,FW,25,1998,4.0,4,4,1,1,2,0,2,0.0,2,1,0,1,0,4,5,0
FRA-Ligue 1,2425,Paris S-G,Senny Mayulu,FRA,MF,18,2006,9.0,25,16,8,14,3,8,14,57.1,6,8,3,5,5,30,12,0
FRA-Ligue 1,2425,Paris S-G,Vitinha,POR,MF,24,2000,22.7,43,23,13,27,3,25,48,52.1,23,26,7,19,14,57,19,2
FRA-Ligue 1,2425,Paris S-G,Warren Zaïre-Emery,FRA,"MF,DF",18,2006,22.8,51,26,17,21,13,23,45,51.1,22,35,6,29,23,74,20,2
FRA-Ligue 1,2425,Paris S-G,Willian Pacho,ECU,DF,22,2001,23.7,56,32,34,22,0,23,32,71.9,9,35,22,13,40,96,91,1
FRA-Ligue 1,2425,Paris S-G,Yoram Zague,FRA,"DF,FW",18,2006,2.0,8,6,3,1,4,6,8,75.0,2,3,0,3,2,10,2,0
