,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Nordi Mukiele,FRA,DF,25,1997,16,9,796,8.8,0,0,0,0,0,0,2,0,1.3,1.3,0.1,1.4,12,32,26,0.0,0.0,0.0,0.0,0.0,0.15,0.01,0.16,0.15,0.16
FRA-Ligue 1,2324,Paris S-G,Nuno Mendes,POR,DF,21,2002,6,2,267,3.0,1,1,2,1,0,0,3,0,0.3,0.3,0.4,0.7,12,21,25,0.34,0.34,0.67,0.34,0.67,0.11,0.14,0.25,0.11,0.25
FRA-Ligue 1,2324,Paris S-G,Ousmane Dembélé,FRA,"MF,FW",26,1997,26,17,1506,16.7,3,8,11,3,0,0,0,0,4.4,4.4,6.7,11.1,160,133,247,0.18,0.48,0.66,0.18,0.66,0.26,0.4,0.67,0.26,0.67
FRA-Ligue 1,2324,Paris S-G,Randal Kolo Muani,FRA,"FW,MF",24,1998,26,13,1268,14.1,6,5,11,6,0,0,1,0,6.1,6.1,3.3,9.4,36,42,125,0.43,0.35,0.78,0.43,0.78,0.43,0.23,0.66,0.43,0.66
FRA-Ligue 1,2324,Paris S-G,Senny Mayulu,FRA,"FW,MF",17,2006,8,3,324,3.6,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,4,11,38,0.0,0.28,0.28,0.0,0.28,0.04,0.13,0.17,0.04,0.17
FRA-Ligue 1,2324,Paris S-G,Vitinha,POR,MF,23,2000,28,23,2126,23.6,7,4,11,7,0,0,0,0,3.1,3.1,3.1,6.3,41,182,122,0.3,0.17,0.47,0.3,0.47,0.13,0.13,0.27,0.13,0.27
FRA-Ligue 1,2324,Paris S-G,Warren Zaïre-Emery,FRA,"MF,DF",17,2006,26,21,1962,21.8,2,3,5,2,0,0,4,0,1.4,1.4,3.2,4.5,54,116,90,0.09,0.14,0.23,0.09,0.23,0.06,0.14,0.21,0.06,0.21
FRA-Ligue 1,2324,Paris S-G,Yoram Zague,FRA,DF,17,2006,5,4,373,4.1,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,2,13,4,0.24,0.0,0.24,0.24,0.24,0.07,0.11,0.18,0.07,0.18
FRA-Ligue 1,2425,Paris S-G,Achraf Hakimi,MAR,DF,25,1998,25,24,2066,23.0,4,6,10,4,0,0,4,0,2.9,2.9,6.2,9.1,93,183,274,0.17,0.26,0.44,0.17,0.44,0.13,0.27,0.4,0.13,0.4
FRA-Ligue 1,2425,Paris S-G,Arnau Tenas,ESP,GK,23,2001,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,0.21,0.21,0.0,0.21
