,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Randal Kolo Muani,FRA,"FW,MF",24,1998,26,1268,49,41.4,14.1,13,72,4,13,26,2,2.27,35,14,21,1.49,0.13,30.1,17.0,13.1,0.93,0.15
FRA-Ligue 1,2324,Paris S-G,Senny Mayulu,FRA,"FW,MF",17,2006,8,324,41,10.6,3.6,3,62,0,5,27,6,2.13,8,4,4,1.11,-0.34,6.7,3.4,3.3,0.93,0.09
FRA-Ligue 1,2324,Paris S-G,Vitinha,POR,MF,23,2000,28,2126,76,69.5,23.6,23,86,16,5,31,3,2.32,57,22,35,1.48,0.23,48.3,28.6,19.7,0.83,-0.05
FRA-Ligue 1,2324,Paris S-G,Warren Zaïre-Emery,FRA,"MF,DF",17,2006,26,1962,75,64.1,21.8,21,88,16,5,25,2,2.27,54,20,34,1.56,0.41,45.8,24.7,21.0,0.97,0.33
FRA-Ligue 1,2324,Paris S-G,Yoram Zague,FRA,DF,17,2006,5,373,75,12.2,4.1,4,90,4,1,13,1,2.0,8,6,2,0.48,-1.06,7.5,4.3,3.2,0.78,-0.07
FRA-Ligue 1,2425,Paris S-G,Achraf Hakimi,MAR,DF,25,1998,25,2066,83,67.5,23.0,24,85,20,1,17,2,2.64,65,20,45,1.96,0.87,64.6,20.1,44.6,1.94,0.75
FRA-Ligue 1,2425,Paris S-G,Arnau Tenas,ESP,GK,23,2001,1,90,90,2.9,1.0,1,90,1,0,,11,3.0,4,1,3,3.0,1.36,1.7,0.6,1.1,1.13,-0.59
FRA-Ligue 1,2425,Paris S-G,Axel Tapé,FRA,"DF,MF",16,2007,2,180,90,5.9,2.0,2,90,2,0,,3,1.5,5,3,2,1.0,-0.72,3.4,1.4,2.0,1.02,-0.72
FRA-Ligue 1,2425,Paris S-G,Bradley Barcola,FRA,FW,21,2002,34,2181,64,71.3,24.2,27,74,7,7,28,0,2.47,66,21,45,1.86,0.63,63.5,19.2,44.3,1.83,0.46
FRA-Ligue 1,2425,Paris S-G,Carlos Soler,ESP,MF,27,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2425,Paris S-G,Désiré Doué,FRA,"FW,MF",19,2005,31,1730,56,56.5,19.2,18,75,5,13,29,1,2.48,51,21,30,1.56,-0.27,49.2,17.5,31.6,1.64,-0.12
FRA-Ligue 1,2425,Paris S-G,Fabián Ruiz Peña,ESP,MF,28,1996,30,1923,64,62.8,21.4,21,82,13,9,22,2,2.4,56,25,31,1.45,-0.61,55.3,21.0,34.3,1.6,-0.25
FRA-Ligue 1,2425,Paris S-G,Gianluigi Donnarumma,ITA,GK,25,1999,24,2091,87,68.3,23.2,24,87,23,0,,5,2.46,62,25,37,1.59,-0.27,62.9,19.8,43.1,1.86,0.5
FRA-Ligue 1,2425,Paris S-G,Gonçalo Ramos,POR,FW,23,2001,22,1066,48,34.8,11.8,12,72,5,10,20,0,2.36,33,14,19,1.6,-0.11,32.1,11.4,20.7,1.75,0.08
FRA-Ligue 1,2425,Paris S-G,Ibrahim Mbaye,FRA,"FW,MF",16,2008,9,340,38,11.1,3.8,4,71,2,5,11,8,2.67,11,5,6,1.59,-0.1,8.9,3.1,5.8,1.54,-0.17
