player_name,league,season,team,nationality,position,age,birth_year,matches_played,matches_started,minutes_played,full_matches_equivalent,goals,assists,goals_plus_assists,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assists,non_penalty_xG_plus_xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,G+A-PK,xG+xAG,shots,shots_on_target,shots_on_target_pct,shots_per_90,SoT/90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,FK,npxG/Sh,G-xG,np:G-xG,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,expected_assists_alt,A-xAG,key_passes,passes_final_third,passes_penalty_area,CrsPA,progressive_passes,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,minutes_per_match,Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,interceptions,tackles_won,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,understat_xg_chain,understat_xg_buildup,understat_npxg_plus_xa,understat_key_passes,bdo_year,bdo_player,comp_type,season_used,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Tkl+Int,clearances,errors,Rec,goals_against,GA90,SoTA,Saves,Save%,wins,draws,losses,CS,CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
Robert Lewandowski,GER-DFB-Pokal,1920,Bayern Munich,POL,FW,30,1988,5,4.0,395,4.4,6,0,6.0,6.0,0,0,1,0,,,,,,,,1.37,,24,11,45.8,5.47,2.51,0.25,0.55,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,73.1,4,88,3,1,45,0,3.0,15,5,10,2.28,3.52,,,,,,0,3,4,1,3,2,1,,,0,,,,,,,,,2020,Robert Lewandowski,domestic,19-20,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,2.0,5.0,4.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,ESP-La Liga,2021,Barcelona,ARG,"FW,MF",33,1987,35,33.0,3023,33.6,30,9,39.0,27.0,3,5,4,0,22.1,17.8,9.5,27.2,215.0,335.0,263.0,1.07,0.94,191,85,44.5,5.69,2.53,0.14,0.32,19.7,40.0,0.1,7.9,9.2,1954,2402,81.3,27676,9454,13.4,-0.5,77,246,131,11,335.0,2151,228,87,20,14,126.0,5,99,36,22,0,1954,23,40,2850,0,64,1133,1687,211,2845,247,159,64.4,88,35.6,2119,13045,7076,215.0,222,65,57,87,2481.0,263.0,86,88.4,33,89,32,2,40,0,2.06,80,35,45,1.34,0.89,66.4,36.5,29.9,0.89,0.26,0,22,99,7,126,6,10,0,0,0,66.0,7.0,10.0,41.2,37.906861275434494,20.33736425638199,34.38330502435565,77.0,2021,Lionel Messi,domestic,20-21,241,7.17,141,20,40,12,28,0,34,1.01,21,1,7,3,2,0,18,10.0,3,9,6,6,17,35.3,11,12,0,12,24,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,FRA-Ligue 1,2122,Paris S-G,ARG,"FW,MF",34,1987,26,24.0,2153,23.9,6,14,20.0,6.0,0,0,0,0,10.0,10.0,8.8,18.9,113.0,291.0,125.0,0.84,0.79,89,29,32.6,3.72,1.21,0.07,0.21,19.1,16.0,0.11,-4.0,-4.0,1400,1657,84.5,21648,7365,9.0,5.2,63,217,82,3,291.0,1566,72,24,28,19,32.0,3,34,13,1,0,1400,19,31,1888,1,72,960,869,105,1888,99,64,64.6,35,35.4,1467,8651,4466,113.0,120,25,47,41,1667.0,125.0,83,63.0,24,88,22,2,27,0,2.12,54,23,31,1.3,-0.34,51.3,25.8,25.5,1.06,0.25,0,6,35,10,32,4,3,0,0,0,55.0,4.0,3.0,57.1,27.21941590309143,13.841111708432436,18.56096651777625,63.0,2021,Lionel Messi,domestic,21-22,156,6.52,113,8,16,10,8,1,27,1.13,19,2,3,2,0,1,10,3.0,1,5,4,3,13,23.1,10,5,0,5,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,INT-Champions League,2122,Paris S-G,ARG,FW,34,1987,7,7.0,630,7.0,5,0,5.0,3.0,2,3,1,0,4.8,2.5,2.0,4.4,45.0,58.0,28.0,0.43,0.97,23,7,30.4,3.29,1.0,0.13,0.43,20.5,2.0,0.13,0.2,0.5,386,452,85.4,5189,1793,2.1,-2.0,13,40,17,1,58.0,424,25,10,8,3,11.0,3,8,0,4,0,386,3,5,525,2,32,285,213,28,522,36,23,63.9,13,36.1,341,2545,1490,45.0,37,10,11,10,453.0,28.0,90,87.5,7,90,7,0,,0,1.86,13,9,4,0.57,0.57,12.4,10.6,1.7,0.25,1.37,0,3,11,1,11,0,0,1,0,0,23.0,1.0,3.0,25.0,,,,,2021,Lionel Messi,international,21-22,27,3.86,23,1,1,1,1,0,4,0.57,2,0,0,1,1,0,3,0.0,3,0,0,0,8,0.0,8,4,0,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,ESP-Copa del Rey,2021,Barcelona,ARG,FW,33,1987,5,5.0,510,5.7,3,1,4.0,3.0,0,0,2,0,,,,,,,,0.71,,35,17,48.6,6.18,3.0,0.09,0.18,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,81.0,5,102,5,0,,0,2.4,14,6,8,1.41,-0.09,,,,,,0,3,21,2,29,1,1,,,0,,,,,,,,,2021,Lionel Messi,domestic,20-21,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karim Benzema,ESP-La Liga,2122,Real Madrid,FRA,FW,33,1987,32,31.0,2593,28.8,27,12,39.0,20.0,7,11,0,0,23.7,15.1,7.9,23.0,88.0,177.0,252.0,1.11,1.1,117,48,41.0,4.06,1.67,0.17,0.42,16.2,3.0,0.13,3.3,4.9,1043,1245,83.8,13822,3030,7.4,4.1,62,76,82,1,177.0,1175,57,4,6,10,10.0,2,8,0,0,0,1043,13,30,1501,15,59,510,942,224,1490,51,36,70.6,15,29.4,976,4819,2440,88.0,66,41,35,24,1275.0,252.0,81,75.8,31,83,18,1,31,1,2.44,65,23,42,1.46,0.7,56.6,28.6,28.0,0.97,1.0,0,13,9,31,10,4,9,0,0,0,44.0,18.0,30.0,37.5,28.832715107128024,9.545942708384246,25.491884438320994,62.0,2022,Karim Benzema,domestic,21-22,128,4.45,108,0,12,7,1,0,22,0.77,16,0,5,1,0,0,11,9.0,5,3,3,2,9,22.2,7,10,0,10,15,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karim Benzema,INT-Champions League,2122,Real Madrid,FRA,FW,33,1987,12,12.0,1102,12.2,15,1,16.0,12.0,3,3,1,0,8.5,6.1,2.6,8.7,42.0,60.0,86.0,1.06,0.93,43,20,46.5,3.51,1.63,0.28,0.6,17.4,4.0,0.14,6.5,5.9,425,522,81.4,5585,1145,2.2,-1.6,19,33,26,2,60.0,504,16,0,4,1,10.0,0,2,0,0,0,425,2,12,639,12,42,241,362,80,636,26,12,46.2,14,53.8,385,2241,1176,42.0,32,14,14,20,535.0,86.0,92,89.6,12,92,8,0,,0,2.0,27,13,14,1.14,0.44,20.3,18.3,2.0,0.17,0.46,0,2,4,8,10,1,2,1,0,0,35.0,7.0,9.0,43.8,,,,,2022,Karim Benzema,international,21-22,48,4.03,40,0,6,1,1,0,7,0.59,5,0,1,0,1,0,3,2.0,0,2,1,0,7,0.0,7,11,0,11,4,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karim Benzema,ESP-Copa del Rey,2122,Sevilla,NED,DF,26,1994,3,3.0,287,3.2,0,0,0.0,0.0,0,0,0,0,,,,,,,,0.0,,1,0,0.0,0.31,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,68.3,3,96,1,0,,0,1.33,2,3,-1,-0.31,-2.34,,,,,,0,5,3,0,1,5,5,,,0,,,,,,,,,2022,Karim Benzema,domestic,21-22,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,FRA-Ligue 1,2223,Paris S-G,ARG,"FW,MF",35,1987,32,32.0,2837,31.5,16,16,32.0,16.0,0,0,0,0,15.5,15.5,13.4,28.9,114.0,300.0,220.0,1.02,0.92,129,55,42.6,4.09,1.74,0.12,0.29,18.3,20.0,0.12,0.5,0.5,1641,2050,80.0,25475,8767,16.2,2.6,93,223,120,2,300.0,1867,157,38,58,11,91.0,2,96,33,37,0,1641,26,63,2401,5,98,1201,1132,159,2401,184,102,55.4,71,38.6,2053,11482,5063,114.0,126,42,52,77,2042.0,220.0,89,83.0,32,89,27,0,,0,2.34,77,31,46,1.46,1.0,64.7,38.9,25.9,0.82,0.19,0,8,36,6,91,2,18,0,0,0,75.0,1.0,3.0,25.0,39.00348609033972,15.89331340789795,32.90335436630994,93.0,2023,Lionel Messi,domestic,22-23,197,6.25,128,30,18,10,9,2,35,1.11,27,2,3,1,2,0,26,18.0,1,13,12,11,27,40.7,16,11,0,11,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,INT-Champions League,2223,Paris S-G,ARG,"FW,MF",35,1987,7,7.0,613,6.8,4,4,8.0,4.0,0,0,0,0,2.6,2.6,2.2,4.8,25.0,53.0,28.0,1.17,0.71,23,8,34.8,3.38,1.17,0.17,0.5,18.8,4.0,0.11,1.4,1.4,352,413,85.2,4722,1586,1.9,1.8,19,40,21,0,53.0,384,27,6,8,1,14.0,1,15,7,5,0,352,2,9,475,0,23,282,176,21,475,28,14,50.0,11,39.3,422,2326,1110,25.0,22,3,9,14,417.0,28.0,88,85.1,7,88,5,0,,0,1.86,15,9,6,0.88,0.88,9.1,8.8,0.2,0.03,-0.41,0,2,16,0,14,3,4,0,0,0,18.0,1.0,0.0,100.0,,,,,2023,Lionel Messi,international,22-23,42,6.17,29,5,1,3,4,0,7,1.03,7,0,0,0,0,0,4,4.0,1,2,1,0,3,0.0,3,3,0,3,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,FRA-Coupe de France,2223,Paris S-G,ARG,FW,35,1987,1,1.0,90,1.0,0,0,0.0,0.0,0,0,0,0,,,,,,,,0.0,,4,0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,33.3,1,90,1,0,,0,0.0,1,2,-1,-1.0,-5.5,,,,,,0,0,1,0,2,0,0,,,0,,,,,,,,,2023,Lionel Messi,domestic,22-23,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodri,ENG-Premier League,2324,Manchester City,ESP,MF,27,1996,34,34.0,2931,32.6,8,9,17.0,8.0,0,0,8,1,4.1,4.1,3.9,8.0,76.0,376.0,55.0,0.52,0.24,62,22,35.5,1.9,0.68,0.13,0.36,20.6,0.0,0.07,3.9,3.9,3365,3656,92.0,57256,15766,6.1,5.1,49,378,61,0,376.0,3572,79,69,15,36,12.0,6,3,0,0,0,3365,5,22,3988,114,664,2337,1013,80,3988,64,42,65.6,14,21.9,2513,11575,6408,76.0,88,12,23,32,3242.0,55.0,86,85.7,34,86,27,0,,1,2.59,87,26,61,1.87,1.69,72.0,28.7,43.3,1.33,1.02,0,41,35,6,12,26,43,1,0,0,235.0,54.0,22.0,71.1,31.623008400201797,26.291744768619537,9.620317293331027,50.0,2024,Rodri,domestic,23-24,157,4.82,130,2,8,5,6,6,23,0.71,17,0,3,1,1,1,70,43.0,25,33,12,29,60,48.3,31,32,8,24,96,41,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodri,INT-Champions League,2324,Manchester City,ESP,MF,27,1996,8,8.0,696,7.7,1,2,3.0,1.0,0,0,2,0,0.8,0.8,1.0,1.8,39.0,119.0,21.0,0.39,0.24,12,4,33.3,1.55,0.52,0.08,0.25,19.0,0.0,0.07,0.2,0.2,851,932,91.3,15512,3987,1.6,1.0,16,100,15,1,119.0,920,10,10,2,10,6.0,0,0,0,0,0,851,2,5,989,15,130,592,273,25,989,14,10,71.4,4,28.6,623,3599,2236,39.0,34,7,4,5,863.0,21.0,87,74.8,8,87,5,0,,2,2.5,22,11,11,1.42,-0.12,19.4,5.1,14.2,1.92,0.74,0,9,8,0,6,6,11,1,0,0,52.0,5.0,5.0,50.0,,,,,2024,Rodri,international,23-24,47,6.35,42,0,2,1,2,0,6,0.81,4,0,0,1,1,0,14,11.0,6,7,1,9,13,69.2,4,2,0,2,20,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
