player_name,league,season,team,nationality,position,age,birth_year,matches_played,matches_started,minutes_played,full_matches_equivalent,goals,assists,goals_plus_assists,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,G+A-PK,shots,shots_on_target,shots_on_target_pct,shots_per_90,SoT/90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,A-xAG,key_passes,passes_final_third,passes_penalty_area,CrsPA,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,interceptions,Tkl+Int,clearances,errors,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,minutes_per_match,Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,2CrdY,Fls,Fld,Off,Crs,tackles_won,PKwon,PKcon,OG,understat_xg_chain,understat_xg_buildup,understat_npxg_plus_xa,understat_key_passes,bdo_year,bdo_player,comp_type,season_used,player,nation,pos,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,expected_goals,non_penalty_expected_goals,expected_assists,non_penalty_xG_plus_xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,xG+xAG,FK,npxG/Sh,G-xG,np:G-xG,expected_assists_alt,progressive_passes,Carries_PrgC,Receiving_Rec,Receiving_PrgR,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,goals_against,GA90,SoTA,Saves,Save%,wins,draws,losses,CS,CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Club
Cristiano Ronaldo,ESP-La Liga,1617,Real Madrid,POR,"FW,MF",31,1985.0,29.0,29.0,2539.0,28.2,25.0,6.0,31.0,19.0,6.0,8.0,4.0,0.0,0.89,162,61,37.7,5.74,2.16,0.12,0.31,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,88.0,74.2,29.0,88,24.0,0.0,,0.0,2.28,74.0,29.0,45.0,1.6,-0.45,0,20,44,34,37,3,2,0,0,29.57457485795021,8.661090549081564,24.058665994554758,31.0,2017,Cristiano Ronaldo,domestic,16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Ronaldo,INT-Champions League,1617,Real Madrid,POR,"FW,MF",31,1985.0,13.0,13.0,1200.0,13.3,12.0,6.0,18.0,12.0,0.0,0.0,1.0,0.0,1.35,68,26,38.2,5.1,1.95,0.18,0.46,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,92.0,100.0,13.0,,13.0,0.0,,0.0,2.31,36.0,18.0,18.0,1.35,,0,7,26,12,18,3,0,0,0,,,,,2017,Cristiano Ronaldo,domestic,16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Ronaldo,ESP-Copa del Rey,1617,Real Madrid,POR,"FW,MF",31,1985.0,2.0,2.0,180.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,33.3,2.0,90,2.0,0.0,,0.0,0.5,3.0,4.0,-1.0,-0.5,-4.0,0,,,,,,,,0,,,,,2017,Cristiano Ronaldo,domestic,16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Modrić,ESP-La Liga,1718,Real Madrid,CRO,MF,31,1985.0,26.0,23.0,1970.0,21.9,1.0,6.0,7.0,1.0,0.0,0.0,3.0,0.0,0.32,35,8,22.9,1.6,0.37,0.03,0.13,20.9,1394,1572,88.7,24341,7975,1.8,39,196,42,1,1530,36,29,11,33,18,1,6,0,4,0,1394,6,21,107,4.89,86,1,13,2,3,2,14,0.64,10,1,0,2,0,1,33,22,14,15,4,15,41,36.6,26,13,4,9,31,64,7,0,1731,26,242,1067,443,43,1731,63,48,76.2,15,23.8,1322,7343,3626,64,15,26,20,,76.0,57.6,23.0,83,14.0,3.0,23,5.0,1.85,53.0,19.0,34.0,1.55,0.56,0,20,31,0,18,22,1,0,0,19.871693924069405,15.434871062636375,6.757510922849178,39.0,2018,Luka Modrić,domestic,17-18,,,,,,,,,,,,,,,,,,,,,,1.8,1.8,4.2,6.0,82.0,254.0,78.0,0.27,0.0,0.05,-0.8,-0.8,4.0,254.0,82.0,1431.0,78.0,47.0,22.9,24.1,1.1,-0.02,149.0,7.0,12.0,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Modrić,INT-Champions League,1718,Real Madrid,CRO,MF,31,1985.0,11.0,11.0,958.0,10.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.19,9,2,22.2,0.85,0.19,0.11,0.5,21.7,626,715,87.6,11078,3348,-0.4,9,80,13,1,699,8,3,7,11,13,2,3,0,3,0,626,8,13,35,3.3,31,1,1,1,1,0,3,0.28,3,0,0,0,0,0,15,8,5,8,2,5,18,27.8,13,9,2,7,14,29,4,0,800,13,120,498,191,17,800,24,16,66.7,8,33.3,621,3264,1478,26,5,13,17,,87.0,81.9,11.0,,7.0,0.0,,2.0,2.09,27.0,13.0,14.0,1.32,0.04,0,11,14,1,13,8,0,0,0,,,,,2018,Luka Modrić,domestic,17-18,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,1.4,2.1,22.0,98.0,34.0,0.2,0.0,0.08,0.3,0.3,1.3,98.0,22.0,662.0,34.0,26.0,16.5,9.6,0.9,-0.55,66.0,2.0,4.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Modrić,ESP-Copa del Rey,1718,Real Madrid,CRO,MF,31,1985.0,2.0,0.0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,8.5,0.0,,0.0,2.0,22,0.0,1.5,1.0,0.0,1.0,1.96,1.23,0,,,,,,,,0,,,,,2018,Luka Modrić,domestic,17-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INT-World Cup,2018,Croatia,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,Luka Modrić,international,2018,Luka Modrić,Croatia,MF,1985.0,7.0,7.0,691.0,7.7,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.26,0.13,0.39,0.13,0.26,,,,,29.0,79.0,22.0,,,,,,,,,,,,,,,,,,,,1.9,0.3,1.0,1.4,0.27,0.15,0.42,0.05,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,ESP-La Liga,1819,Barcelona,ARG,FW,31,1987.0,34.0,29.0,2713.0,30.1,36.0,13.0,49.0,32.0,4.0,5.0,3.0,0.0,1.49,165,82,49.7,5.47,2.72,0.19,0.39,20.2,1504,1936,77.7,24346,8451,-1.4,89,200,140,2,1756,156,84,70,26,78,4,62,19,5,2,1504,24,37,243,8.06,149,13,39,13,26,3,36,1.19,21,1,5,5,4,0,12,7,5,3,4,1,17,5.9,16,10,0,10,3,15,1,0,2332,1,46,970,1343,164,2327,224,134,59.8,90,40.2,1709,10546,5575,168,52,63,78,,80.0,79.3,29.0,88,28.0,5.0,33,0.0,2.35,75.0,25.0,50.0,1.66,1.15,0,22,66,17,78,7,0,0,0,38.45986612141132,10.698799947276711,37.61605078727007,93.0,2019,Lionel Messi,domestic,18-19,,,,,,,,,,,,,,,,,,,,,,23.8,19.9,14.4,34.2,153.0,328.0,206.0,1.27,41.0,0.12,12.2,12.1,14.0,328.0,153.0,2017.0,206.0,60.4,34.6,25.8,0.85,0.25,69.0,7.0,10.0,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,INT-Champions League,1819,Barcelona,ARG,FW,31,1987.0,10.0,9.0,838.0,9.3,12.0,3.0,15.0,11.0,1.0,1.0,0.0,0.0,1.5,53,24,45.3,5.69,2.58,0.21,0.46,19.1,505,612,82.5,7873,2758,-2.3,27,72,38,0,571,36,23,17,4,13,1,9,2,0,0,505,5,12,80,8.59,59,4,7,5,4,1,12,1.29,8,0,2,1,1,0,10,10,1,4,5,3,7,42.9,4,6,0,6,3,13,0,0,740,1,21,369,356,52,739,57,35,61.4,22,38.6,510,3561,1875,54,9,15,23,,84.0,77.6,9.0,90,9.0,1.0,28,0.0,2.3,22.0,9.0,13.0,1.4,0.28,0,8,20,1,13,10,0,0,0,,,,,2019,Lionel Messi,domestic,18-19,,,,,,,,,,,,,,,,,,,,,,6.5,5.7,5.3,11.0,51.0,113.0,66.0,1.26,10.0,0.11,5.5,5.3,4.8,113.0,51.0,632.0,66.0,18.2,11.3,6.8,0.74,0.07,24.0,1.0,3.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,ESP-Copa del Rey,1819,Barcelona,ARG,FW,31,1987.0,5.0,4.0,388.0,4.3,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.16,28,12,42.9,6.49,2.78,0.11,0.25,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,78.0,47.9,4.0,90,4.0,1.0,27,0.0,2.0,13.0,3.0,10.0,2.32,2.11,0,1,12,1,13,3,1,0,0,,,,,2019,Lionel Messi,domestic,18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
