game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,qualifiers,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id,match_id,data_source,pass_length,is_longball,is_header,is_cross,is_through_ball,shot_body_part,is_assist,field_zone,is_successful,event_type,possession_sequence,next_player,distance_to_goal,pass_distance,event_id,take_ons_in_carry,xthreat,xthreat_gen,is_pre_assist,possession_id,possession_team,is_progressive,is_box_entry,pass_outcome,action_type,zone_id,match_date,match_home,match_away,match_id_ws,match_id_us,xg
1910738,SecondHalf,47.0,21.0,50,MissedShots,Successful,7614,RBL,557000.0,Yan Diomande,77.9,48.3,,,62.5,65.3,,,"[{'type': {'displayName': 'OutOfBoxCentre', 'value': 18}}, {'type': {'displayName': 'HighLeft', 'value': 77}}, {'type': {'displayName': 'IndividualPlay', 'value': 215}}, {'type': {'displayName': 'FirstTouch', 'value': 328}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'RightFoot', 'value': 20}}, {'type': {'displayName': 'Volley', 'value': 108}}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '65.3'}, {'type': {'displayName': 'FromCorner', 'value': 25}}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '62.5'}]",True,True,,,,,1910738,whoscored,,False,False,False,False,,False,Attacking_Center,True,MissedShots,294,,22.17,,,,0.0,0.0,False,322,RBL,False,False,,Neutral,14,2025-11-08 14:30:00,Hoffenheim,RB Leipzig,1910738,30310,0.02
1910738,SecondHalf,63.0,43.0,66,SavedShot,Successful,7614,RBL,557000.0,Yan Diomande,97.7,26.5,,,49.9,21.5,99.5,43.0,"[{'type': {'displayName': 'IndividualPlay', 'value': 215}}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '49.9'}, {'type': {'displayName': 'BlockedX', 'value': 146}, 'value': '99.5'}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '631'}, {'type': {'displayName': 'RightFoot', 'value': 20}}, {'type': {'displayName': 'HighCentre', 'value': 79}}, {'type': {'displayName': 'BlockedY', 'value': 147}, 'value': '43.0'}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '21.5'}, {'type': {'displayName': 'DeepBoxRight', 'value': 62}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '647'}]",True,True,,,631.0,104917.0,1910738,whoscored,,False,False,False,False,,False,Attacking_Left,True,SavedShot,416,,23.61,,,,0.0,0.0,False,450,RBL,False,False,,Neutral,16,2025-11-08 14:30:00,Hoffenheim,RB Leipzig,1910738,30310,0.04
1910758,FirstHalf,1.0,53.0,1,SavedShot,Successful,7614,RBL,557000.0,Yan Diomande,92.5,29.1,,,48.1,19.0,93.7,32.1,"[{'type': {'displayName': 'IntentionalAssist', 'value': 154}}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '19'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'RightFoot', 'value': 20}}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '36'}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '13'}, {'type': {'displayName': 'LowRight', 'value': 80}}, {'type': {'displayName': 'Blocked', 'value': 82}}, {'type': {'displayName': 'BoxRight', 'value': 63}}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'BlockedX', 'value': 146}, 'value': '93.7'}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '48.1'}, {'type': {'displayName': 'BlockedY', 'value': 147}, 'value': '32.1'}]",True,True,,,36.0,369979.0,1910758,whoscored,,False,False,False,False,,False,Attacking_Left,True,SavedShot,13,,22.2,,,,0.0,0.0,False,15,RBL,False,False,,Neutral,16,2025-11-23 14:30:00,RB Leipzig,Werder Bremen,1910758,30320,0.0288308598101139
1910758,FirstHalf,15.0,49.0,15,MissedShots,Successful,7614,RBL,557000.0,Yan Diomande,80.0,50.3,,,99.3,1.4,84.0,70.0,"[{'type': {'displayName': 'BlockedX', 'value': 146}, 'value': '84.0'}, {'type': {'displayName': 'LeftFoot', 'value': 72}}, {'type': {'displayName': 'FirstTouch', 'value': 328}}, {'type': {'displayName': 'OutOfBoxCentre', 'value': 18}}, {'type': {'displayName': 'BlockedY', 'value': 147}, 'value': '70.0'}, {'type': {'displayName': 'MissLeft', 'value': 73}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'FromCorner', 'value': 25}}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '1.4'}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '99.3'}]",True,True,,,,,1910758,whoscored,,False,False,False,False,,False,Attacking_Center,True,MissedShots,61,Antonio Nusa,20.0,,,,0.0,0.0,False,63,RBL,False,False,,Neutral,14,2025-11-23 14:30:00,RB Leipzig,Werder Bremen,1910758,30320,0.044382594525814
1910758,SecondHalf,47.0,59.0,50,SavedShot,Successful,7614,RBL,557000.0,Yan Diomande,95.7,31.8,,,53.3,3.2,99.0,46.0,"[{'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'BlockedX', 'value': 146}, 'value': '99.0'}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '524'}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'BlockedY', 'value': 147}, 'value': '46.0'}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '3.2'}, {'type': {'displayName': 'RightFoot', 'value': 20}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '505'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'DeepBoxRight', 'value': 62}}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '53.3'}, {'type': {'displayName': 'LowLeft', 'value': 76}}]",True,True,,,524.0,369979.0,1910758,whoscored,,False,False,False,False,,False,Attacking_Left,True,SavedShot,253,,18.7,,,,0.0,0.0,False,272,RBL,False,False,,Neutral,16,2025-11-23 14:30:00,RB Leipzig,Werder Bremen,1910758,30320,0.0466578789055347
1910758,SecondHalf,86.0,37.0,89,SavedShot,Successful,7614,RBL,557000.0,Yan Diomande,96.5,63.0,,,51.9,5.7,96.7,62.2,"[{'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '788'}, {'type': {'displayName': 'BlockedY', 'value': 147}, 'value': '62.2'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '5.7'}, {'type': {'displayName': 'IntentionalAssist', 'value': 154}}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '51.9'}, {'type': {'displayName': 'LeftFoot', 'value': 72}}, {'type': {'displayName': 'BlockedX', 'value': 146}, 'value': '96.7'}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'FirstTouch', 'value': 328}}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'SmallBoxLeft', 'value': 61}}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '855'}, {'type': {'displayName': 'LowLeft', 'value': 76}}]",True,True,,,855.0,369979.0,1910758,whoscored,,False,False,False,False,,False,Attacking_Center,True,SavedShot,441,,13.46,,,,0.0,0.0,False,460,RBL,False,False,,Neutral,17,2025-11-23 14:30:00,RB Leipzig,Werder Bremen,1910758,30320,0.2723119258880615
1910767,FirstHalf,41.0,5.0,41,MissedShots,Successful,7614,RBL,557000.0,Yan Diomande,74.3,38.9,,,34.3,93.1,,,"[{'type': {'displayName': 'HighRight', 'value': 81}}, {'type': {'displayName': 'IndividualPlay', 'value': 215}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '34.3'}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '418'}, {'type': {'displayName': 'OutOfBoxCentre', 'value': 18}}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '93.1'}, {'type': {'displayName': 'RightFoot', 'value': 20}}]",True,True,False,,418.0,416030.0,1910767,whoscored,,False,False,False,False,,False,Attacking_Center,True,MissedShots,234,,27.99,,,,0.0,0.0,False,236,RBL,False,False,,Neutral,14,2025-11-28 19:30:00,Borussia M.Gladbach,RB Leipzig,1910767,30325,0.02
1910767,SecondHalf,46.0,7.0,47,SavedShot,Successful,7614,RBL,557000.0,Yan Diomande,91.1,47.7,,,50.8,19.0,92.5,48.2,"[{'type': {'displayName': 'BlockedY', 'value': 147}, 'value': '48.2'}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '19'}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '488'}, {'type': {'displayName': 'BlockedX', 'value': 146}, 'value': '92.5'}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '50.8'}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '444'}, {'type': {'displayName': 'IntentionalAssist', 'value': 154}}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'LowCentre', 'value': 78}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'BoxCentre', 'value': 17}}, {'type': {'displayName': 'Blocked', 'value': 82}}, {'type': {'displayName': 'LeftFoot', 'value': 72}}]",True,True,False,,488.0,416030.0,1910767,whoscored,,False,False,False,False,,False,Attacking_Center,True,SavedShot,278,,9.19,,,,0.0,0.0,False,285,RBL,False,False,,Neutral,17,2025-11-28 19:30:00,Borussia M.Gladbach,RB Leipzig,1910767,30325,0.12
1910793,SecondHalf,46.0,2.0,52,Goal,Successful,7614,RBL,557000.0,Yan Diomande,87.7,54.8,,,50.8,29.1,,,"[{'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '50.8'}, {'type': {'displayName': 'FirstTouch', 'value': 328}}, {'type': {'displayName': 'HighCentre', 'value': 79}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'RightFoot', 'value': 20}}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '29.1'}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'BoxCentre', 'value': 17}}]",True,True,True,,,,1910793,whoscored,,False,False,False,False,,False,Attacking_Center,True,Goal,327,Castello Lukeba,13.2,,,,0.0,0.0,False,341,RBL,False,False,,Offensive,17,2025-12-06 17:30:00,RB Leipzig,Eintracht Frankfurt,1910793,30340,0.0870672240853309
1910793,SecondHalf,54.0,4.0,60,Goal,Successful,7614,RBL,557000.0,Yan Diomande,82.4,46.0,,,54.0,10.1,,,"[{'type': {'displayName': 'LeftFoot', 'value': 72}}, {'type': {'displayName': 'LowLeft', 'value': 76}}, {'type': {'displayName': 'RegularPlay', 'value': 22}}, {'type': {'displayName': 'GoalMouthY', 'value': 102}, 'value': '54.0'}, {'type': {'displayName': 'GoalMouthZ', 'value': 103}, 'value': '10.1'}, {'type': {'displayName': 'RelatedEventId', 'value': 55}, 'value': '551'}, {'type': {'displayName': 'Assisted', 'value': 29}}, {'type': {'displayName': 'OutOfBoxCentre', 'value': 18}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'IntentionalAssist', 'value': 154}}, {'type': {'displayName': 'IndividualPlay', 'value': 215}}]",True,True,True,,551.0,369979.0,1910793,whoscored,,False,False,False,False,,False,Attacking_Center,True,Goal,381,,18.05,,,,0.0,0.0,False,408,RBL,False,False,,Offensive,14,2025-12-06 17:30:00,RB Leipzig,Eintracht Frankfurt,1910793,30340,0.0841634199023246
