player_name,league,season,team,nationality,position,age,birth_year,matches_played,matches_started,minutes_played,full_matches_equivalent,goals,assists,goals_plus_assists,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assists,non_penalty_xG_plus_xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,G+A-PK,xG+xAG,shots,shots_on_target,shots_on_target_pct,shots_per_90,SoT/90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,FK,npxG/Sh,G-xG,np:G-xG,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,expected_assists_alt,A-xAG,key_passes,passes_final_third,passes_penalty_area,CrsPA,progressive_passes,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,minutes_per_match,Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,interceptions,tackles_won,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,understat_xg_chain,understat_xg_buildup,understat_npxg_plus_xa,understat_key_passes,bdo_year,bdo_player,comp_type,season_used,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Tkl+Int,clearances,errors,Rec,goals_against,GA90,SoTA,Saves,Save%,wins,draws,losses,CS,CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
Cristiano Ronaldo,INT-Champions League,1718,Real Madrid,POR,FW,32,1985,13,,1170,13.0,15,2,,,4,4,2,0,14.8,11.7,3.3,,,,,,,78,30,38.5,6.0,2.31,0.14,0.37,16.1,3.0,0.15,0.2,-0.7,319,408,78.2,4084,671,2.0,-1.3,15,8,11,0,32.0,388,16,3,2,1,12.0,5,1,0,0,0,319,4,16,552,17,34,189,336,123,548,29,22,75.9,7,24.1,382,2585,1588,64.0,36,39,17,10,465.0,163.0,90,100.0,13,,13,0,,0,2.23,33,16,17,1.31,,33.0,20.0,13.1,1.01,,0,6,12,18,12,3,2,0,0,0,26.0,22.0,18.0,55.0,,,,,2017,Cristiano Ronaldo,international,17-18,49,3.77,33,1,6,6,2,1,9,0.69,8,0,1,0,0,0,5,2.0,1,4,0,1,4,25.0,3,8,3,5,8,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Modric,INT-Champions League,1819,Loko Moscow,CRO,DF,32,1986,3,3.0,270,3.0,0,0,0.0,0.0,0,0,3,0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0.0,,0.0,0.0,84,112,75.0,1662,703,0.3,0.0,0,15,1,0,13.0,102,8,8,0,0,0.0,0,0,0,0,0,84,2,1,142,13,48,88,6,1,142,0,0,,0,,60,442,280,2.0,2,0,0,0,75.0,0.0,,,0,,0,0,,1,,,,,,,,,,,,0,5,4,1,0,3,4,0,0,0,8.0,8.0,9.0,47.1,,,,,2018,Luka Modric,international,18-19,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,4.0,3,2,0,3,5,60.0,2,3,3,0,8,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,INT-Champions League,1819,Barcelona,ARG,FW,31,1987,10,9.0,838,9.3,12,3,15.0,11.0,1,1,0,0,6.5,5.7,5.3,11.0,51.0,113.0,66.0,1.5,1.26,53,24,45.3,5.69,2.58,0.21,0.46,19.1,10.0,0.11,5.5,5.3,505,612,82.5,7873,2758,4.8,-2.3,27,72,38,0,113.0,571,36,23,17,4,13.0,1,9,2,0,0,505,5,12,740,1,21,369,356,52,739,57,35,61.4,22,38.6,510,3561,1875,51.0,54,9,15,23,632.0,66.0,84,77.6,9,90,9,1,28,0,2.3,22,9,13,1.4,0.28,18.2,11.3,6.8,0.74,0.07,0,8,20,1,13,3,10,0,0,0,24.0,1.0,3.0,25.0,,,,,2019,Lionel Messi,international,18-19,80,8.59,59,4,7,5,4,1,12,1.29,8,0,2,1,1,0,10,10.0,1,4,5,3,7,42.9,4,6,0,6,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Lewandowski,INT-Champions League,1920,Bayern Munich,POL,FW,30,1988,10,10.0,886,9.8,15,6,21.0,13.0,2,2,0,0,14.5,12.9,3.2,16.2,21.0,39.0,87.0,1.93,1.8,50,29,58.0,5.08,2.95,0.26,0.45,13.4,2.0,0.26,0.5,0.1,198,257,77.0,2394,571,2.0,2.8,21,12,17,1,39.0,252,3,0,2,0,6.0,1,0,0,0,0,198,2,9,383,7,19,120,250,99,381,23,12,52.2,11,47.8,222,1154,537,21.0,14,13,15,12,294.0,87.0,89,89.5,10,89,9,0,,1,3.0,39,7,32,3.25,0.65,31.9,9.1,22.8,2.31,0.1,0,11,16,4,6,2,6,1,0,0,33.0,28.0,27.0,50.9,,,,,2020,Robert Lewandowski,international,19-20,48,4.88,33,0,2,6,6,1,10,1.02,7,0,1,1,1,0,10,6.0,2,6,2,2,10,20.0,8,5,0,5,12,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,INT-Champions League,2122,Paris S-G,ARG,FW,34,1987,7,7.0,630,7.0,5,0,5.0,3.0,2,3,1,0,4.8,2.5,2.0,4.4,45.0,58.0,28.0,0.43,0.97,23,7,30.4,3.29,1.0,0.13,0.43,20.5,2.0,0.13,0.2,0.5,386,452,85.4,5189,1793,2.1,-2.0,13,40,17,1,58.0,424,25,10,8,3,11.0,3,8,0,4,0,386,3,5,525,2,32,285,213,28,522,36,23,63.9,13,36.1,341,2545,1490,45.0,37,10,11,10,453.0,28.0,90,87.5,7,90,7,0,,0,1.86,13,9,4,0.57,0.57,12.4,10.6,1.7,0.25,1.37,0,3,11,1,11,0,0,1,0,0,23.0,1.0,3.0,25.0,,,,,2021,Lionel Messi,international,21-22,27,3.86,23,1,1,1,1,0,4,0.57,2,0,0,1,1,0,3,0.0,3,0,0,0,8,0.0,8,4,0,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karim Benzema,INT-Champions League,2122,Real Madrid,FRA,FW,33,1987,12,12.0,1102,12.2,15,1,16.0,12.0,3,3,1,0,8.5,6.1,2.6,8.7,42.0,60.0,86.0,1.06,0.93,43,20,46.5,3.51,1.63,0.28,0.6,17.4,4.0,0.14,6.5,5.9,425,522,81.4,5585,1145,2.2,-1.6,19,33,26,2,60.0,504,16,0,4,1,10.0,0,2,0,0,0,425,2,12,639,12,42,241,362,80,636,26,12,46.2,14,53.8,385,2241,1176,42.0,32,14,14,20,535.0,86.0,92,89.6,12,92,8,0,,0,2.0,27,13,14,1.14,0.44,20.3,18.3,2.0,0.17,0.46,0,2,4,8,10,1,2,1,0,0,35.0,7.0,9.0,43.8,,,,,2022,Karim Benzema,international,21-22,48,4.03,40,0,6,1,1,0,7,0.59,5,0,1,0,1,0,3,2.0,0,2,1,0,7,0.0,7,11,0,11,4,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,INT-Champions League,2223,Paris S-G,ARG,"FW,MF",35,1987,7,7.0,613,6.8,4,4,8.0,4.0,0,0,0,0,2.6,2.6,2.2,4.8,25.0,53.0,28.0,1.17,0.71,23,8,34.8,3.38,1.17,0.17,0.5,18.8,4.0,0.11,1.4,1.4,352,413,85.2,4722,1586,1.9,1.8,19,40,21,0,53.0,384,27,6,8,1,14.0,1,15,7,5,0,352,2,9,475,0,23,282,176,21,475,28,14,50.0,11,39.3,422,2326,1110,25.0,22,3,9,14,417.0,28.0,88,85.1,7,88,5,0,,0,1.86,15,9,6,0.88,0.88,9.1,8.8,0.2,0.03,-0.41,0,2,16,0,14,3,4,0,0,0,18.0,1.0,0.0,100.0,,,,,2023,Lionel Messi,international,22-23,42,6.17,29,5,1,3,4,0,7,1.03,7,0,0,0,0,0,4,4.0,1,2,1,0,3,0.0,3,3,0,3,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodri,INT-Champions League,2324,Manchester City,ESP,MF,27,1996,8,8.0,696,7.7,1,2,3.0,1.0,0,0,2,0,0.8,0.8,1.0,1.8,39.0,119.0,21.0,0.39,0.24,12,4,33.3,1.55,0.52,0.08,0.25,19.0,0.0,0.07,0.2,0.2,851,932,91.3,15512,3987,1.6,1.0,16,100,15,1,119.0,920,10,10,2,10,6.0,0,0,0,0,0,851,2,5,989,15,130,592,273,25,989,14,10,71.4,4,28.6,623,3599,2236,39.0,34,7,4,5,863.0,21.0,87,74.8,8,87,5,0,,2,2.5,22,11,11,1.42,-0.12,19.4,5.1,14.2,1.92,0.74,0,9,8,0,6,6,11,1,0,0,52.0,5.0,5.0,50.0,,,,,2024,Rodri,international,23-24,47,6.35,42,0,2,1,2,0,6,0.81,4,0,0,1,1,0,14,11.0,6,7,1,9,13,69.2,4,2,0,2,20,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
