game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,qualifiers,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id,match_id,data_source,pass_length,is_longball,is_header,is_cross,is_through_ball,shot_body_part,is_assist,field_zone,is_successful,event_type,possession_sequence,next_player,distance_to_goal,pass_distance,event_id,take_ons_in_carry,xthreat,xthreat_gen,is_pre_assist,possession_id,possession_team,is_progressive,is_box_entry,pass_outcome,action_type,zone_id,xg,match_date,match_home,match_away,match_id_ws,match_id_us
1910620,SecondHalf,69.0,52.5,72,Carry,Successful,7614,RBL,557000.0,Yan Diomande,67.0,55.2,69.0,58.8,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '67.0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '26.7'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '55.2'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.45'}]",True,,,,,,1910620,whoscored,,False,False,False,False,,False,Middle_Left,True,Carry,509,Ezechiel Banzuzi,49.45,39.12,1182.5,0.0,0.0085245223999999,0.0085245223999999,False,528,RBL,False,False,,Offensive,14,0.0,2025-09-13 13:30:00,Mainz 05,RB Leipzig,1910620,30245
1910620,SecondHalf,77.0,41.5,80,Carry,Successful,7614,RBL,557000.0,Yan Diomande,84.1,11.1,77.9,5.8,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '84.1'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.27'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '11.1'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '30.4'}]",True,,,,,,1910620,whoscored,,False,False,False,False,,False,Attacking_Center,True,Carry,559,Ridle Baku,31.22,40.87,1311.5,0.0,0.0011542054799999,0.0011542054799999,False,578,RBL,False,False,,Offensive,16,0.0,2025-09-13 13:30:00,Mainz 05,RB Leipzig,1910620,30245
1910620,SecondHalf,77.0,54.0,80,Carry,Successful,7614,RBL,557000.0,Yan Diomande,63.7,28.8,62.9,33.1,,,,,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '15.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.66'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '63.7'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '28.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]",True,,,,,,1910620,whoscored,,False,False,False,False,,False,Middle_Left,True,Carry,559,Ezechiel Banzuzi,56.22,22.84,1314.5,0.0,0.01600407172,0.01600407172,False,578,RBL,False,False,,Offensive,10,0.0,2025-09-13 13:30:00,Mainz 05,RB Leipzig,1910620,30245
1910620,SecondHalf,79.0,25.5,82,Carry,Successful,7614,RBL,557000.0,Yan Diomande,76.5,36.9,87.6,32.8,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '76.5'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.59'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '28.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '36.9'}, {'type': {'displayName': 'Throughball', 'value': 4}}]",True,,,,,,1910620,whoscored,,False,False,False,False,,False,Middle_Center,True,Carry,575,Rômulo,46.52,34.14,1360.5,0.0,-0.0318545248699999,0.0,False,594,RBL,False,True,,Offensive,14,0.0,2025-09-13 13:30:00,Mainz 05,RB Leipzig,1910620,30245
1910620,SecondHalf,80.5,26.5,83,Carry,Successful,7614,RBL,557000.0,Yan Diomande,35.6,86.8,71.3,44.7,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '35.6'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '14.2'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.56'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '86.8'}]",True,,,,,,1910620,whoscored,,False,False,False,False,,False,Defensive_Right,True,Carry,585,Conrad Harder,80.04,15.91,1382.5,0.0,-0.1314955775299998,0.0,False,604,RBL,True,False,,Offensive,9,0.0,2025-09-13 13:30:00,Mainz 05,RB Leipzig,1910620,30245
1910639,FirstHalf,2.0,49.0,2,Carry,Successful,7614,RBL,557000.0,Yan Diomande,31.4,68.5,33.5,66.3,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '31.4'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.80'}, {'type': {'displayName': 'Chipped', 'value': 155}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '68.5'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '29.8'}]",True,,,,,,1910639,whoscored,,False,False,False,False,,False,Middle_Right,True,Carry,23,Castello Lukeba,64.49,34.84,59.5,0.0,0.00251483925,0.00251483925,False,24,RBL,False,False,,Offensive,6,0.0,2025-09-20 16:30:00,RB Leipzig,FC Koln,1910639,30256
1910639,FirstHalf,7.0,10.5,7,Carry,Successful,7614,RBL,557000.0,Yan Diomande,32.0,68.1,35.7,63.4,,,,,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '68.1'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '16.4'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.07'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '32.0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,,1910639,whoscored,,False,False,False,False,,False,Middle_Right,True,Carry,41,Castello Lukeba,69.52,21.47,127.5,0.0,-0.0002186328999999,0.0,False,42,RBL,False,False,,Offensive,6,0.0,2025-09-20 16:30:00,RB Leipzig,FC Koln,1910639,30256
1910639,FirstHalf,19.0,53.5,19,Carry,Successful,7614,RBL,557000.0,Yan Diomande,36.7,73.3,40.0,74.8,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '36.7'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '17.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '73.3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.44'}]",True,,,,,,1910639,whoscored,,False,False,False,False,,False,Middle_Right,True,Carry,109,David Raum,56.44,17.98,344.5,0.0,0.0339957401699999,0.0339957401699999,False,110,RBL,False,False,,Offensive,9,0.0,2025-09-20 16:30:00,RB Leipzig,FC Koln,1910639,30256
1910639,FirstHalf,19.5,28.5,19,Carry,Successful,7614,RBL,557000.0,Yan Diomande,41.5,76.7,41.5,72.7,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '15.4'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.59'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '41.5'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '76.7'}]",True,,,,,,1910639,whoscored,,False,False,False,False,,False,Middle_Right,True,Carry,109,David Raum,58.18,16.44,346.5,0.0,-0.026709998,0.0,False,110,RBL,False,False,,Offensive,9,0.0,2025-09-20 16:30:00,RB Leipzig,FC Koln,1910639,30256
1910639,FirstHalf,24.0,32.0,24,Carry,Successful,7614,RBL,557000.0,Yan Diomande,91.6,75.3,96.8,75.6,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '91.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '75.3'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '5.4'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.12'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]",True,,,,,,1910639,whoscored,,False,False,False,False,,False,Attacking_Right,True,Carry,117,David Raum,21.06,7.43,408.5,0.0,-0.0302136402000001,0.0,False,118,RBL,False,False,,Offensive,18,0.0,2025-09-20 16:30:00,RB Leipzig,FC Koln,1910639,30256
