player,team,field_x,field_y,minute,second,pass_distance
Dani Olmo,Barcelona,52.5,34.0,0,0.0,12.6784103498822
Pedri,Barcelona,47.145,45.492000000000004,0,1.0,11.540866561918133
Frenkie de Jong,Barcelona,48.19499999999999,35.428000000000004,0,8.0,16.069969010548842
Ronald Araújo,Barcelona,46.62,19.651999999999997,0,11.0,54.10045105172415
Andreas Christensen,Barcelona,11.759999999999998,61.2,0,18.0,8.020823461465783
Gerard Martín,Barcelona,17.955000000000002,65.484,0,19.0,14.393338598115445
Marash Kumbulla,Espanyol,26.355,34.68,0,27.0,17.751383072876322
Joan García,Espanyol,9.345,31.348000000000003,0,32.0,47.48357206445194
Carlos Romero,Espanyol,40.214999999999996,62.56,0,41.0,13.45512601204463
Pol Lozano,Espanyol,36.96,45.832,0,44.0,31.071061278945717
Gerard Martín,Barcelona,39.69,68.0,1,14.0,18.843921274511843
Andreas Christensen,Barcelona,28.769999999999996,43.724000000000004,1,22.0,6.653651704139612
Frenkie de Jong,Barcelona,34.65,39.916000000000004,1,25.0,21.914998722336264
Ronald Araújo,Barcelona,38.955,18.428,1,29.0,14.745305185041104
Eric García,Barcelona,40.845,6.256,1,32.0,15.880973553280665
Ronald Araújo,Barcelona,28.455000000000002,18.631999999999998,1,34.0,17.822592516241848
Pedri,Barcelona,45.675,44.064,1,39.0,16.55513515499043
Raphinha,Barcelona,56.28,46.716,1,41.0,11.404862515611484
Andreas Christensen,Barcelona,46.51499999999999,43.112,1,44.0,18.532748204192494
Pedri,Barcelona,56.385000000000005,57.664,1,47.0,10.524634150411122
Andreas Christensen,Barcelona,55.96499999999999,42.364,1,50.0,15.818223699265348
Ronald Araújo,Barcelona,57.120000000000005,26.588,1,52.0,17.254336962051003
Robert Lewandowski,Barcelona,83.37,16.116,1,57.0,4.965763184043315
Lamine Yamal,Barcelona,78.96,11.355999999999998,1,59.0,7.830402288516205
Eric García,Barcelona,71.4,13.395999999999999,2,0.0,8.96322174220854
Lamine Yamal,Barcelona,93.87,2.108,2,9.0,9.127111755643185
Robert Lewandowski,Barcelona,94.185,11.22,2,11.0,4.57800928352052
Eric García,Barcelona,67.62,0.0,2,30.0,21.91570213340198
Ronald Araújo,Barcelona,48.72,7.684,2,30.0,11.9753673847611
Frenkie de Jong,Barcelona,50.294999999999995,27.403999999999996,2,35.0,10.304383581757822
Pedri,Barcelona,60.37499999999999,26.452,2,36.0,9.029818658201275
Frenkie de Jong,Barcelona,56.595000000000006,36.04,2,39.0,11.111770380996902
Raphinha,Barcelona,66.57000000000001,40.936,2,40.0,12.324982109520485
Andreas Christensen,Barcelona,55.650000000000006,44.94799999999999,2,41.0,7.192242765646885
Frenkie de Jong,Barcelona,57.120000000000005,32.3,2,46.0,16.142977451511236
Andreas Christensen,Barcelona,70.35000000000001,50.388,2,50.0,16.242190615800567
Gerard Martín,Barcelona,75.81,63.580000000000005,2,52.0,14.2855227765735
Andreas Christensen,Barcelona,63.945,55.623999999999995,2,54.0,12.357852402420088
Frenkie de Jong,Barcelona,57.120000000000005,41.004,2,56.0,29.707576474697486
Eric García,Barcelona,62.37,11.764000000000001,2,59.0,11.688795019162587
Lamine Yamal,Barcelona,71.295,4.216,3,0.0,11.510186097539862
Eric García,Barcelona,59.849999999999994,6.392,3,2.0,10.34932466395755
Frenkie de Jong,Barcelona,59.63999999999999,13.26,3,4.0,7.412
Eric García,Barcelona,58.589999999999996,7.548,3,6.0,15.731021073026378
Pedri,Barcelona,63.105,23.256,3,11.0,18.858888647001443
Dani Olmo,Barcelona,69.19500000000001,6.0520000000000005,3,15.0,7.729534267987956
Eric García,Barcelona,62.894999999999996,10.948,3,16.0,4.776923277591966
Pedri,Barcelona,67.30499999999999,12.784,3,17.0,7.4515024659460405
Eric García,Barcelona,60.9,8.976,3,18.0,8.354387829158997
Dani Olmo,Barcelona,67.41,3.74,3,20.0,7.062188046207768
Lamine Yamal,Barcelona,74.33999999999999,2.3800000000000003,3,21.0,11.603451253829622
Pol Lozano,Espanyol,27.720000000000002,57.46,3,23.0,
Pol Lozano,Espanyol,19.11,62.152,3,24.0,15.026077631903808
Leandro Cabrera,Espanyol,23.625,46.716,3,27.0,16.141821582460885
Urko González,Espanyol,57.75000000000001,34.204,3,31.0,21.575403032156782
Roberto Fernández,Espanyol,74.13,21.964,3,34.0,19.668081858686687
Wojciech Szczesny,Barcelona,4.305,27.676000000000002,4,5.0,30.53105671279656
Robert Lewandowski,Barcelona,63.735,44.88,4,9.0,22.648313402988748
Ronald Araújo,Barcelona,47.145,30.871999999999996,4,12.0,12.106148685688613
Frenkie de Jong,Barcelona,58.169999999999995,31.348000000000003,4,15.0,14.83924270304924
Andreas Christensen,Barcelona,63.629999999999995,45.696000000000005,4,17.0,8.11354577234885
Pedri,Barcelona,74.23500000000001,36.72,4,21.0,10.711896237361513
Robert Lewandowski,Barcelona,73.92,50.388,4,25.0,17.192425337921357
Raphinha,Barcelona,83.78999999999999,62.016000000000005,4,28.0,15.446374849782716
Pedri,Barcelona,86.31,46.30799999999999,4,29.0,7.309304754899758
Robert Lewandowski,Barcelona,84.0,50.66,4,31.0,11.47695098882975
Gerard Martín,Barcelona,89.88,60.112,4,34.0,11.591471045557592
Omar El Hilali,Espanyol,19.95,15.64,4,35.0,
Omar El Hilali,Espanyol,36.644999999999996,3.128,5,5.0,48.60505010798776
Gerard Martín,Barcelona,7.770000000000001,68.0,5,38.0,6.5074836918735315
Frenkie de Jong,Barcelona,14.700000000000001,64.464,5,39.0,5.561779930921396
Omar El Hilali,Espanyol,83.37,0.0,5,49.0,8.563999299392778
Antoniu Roca,Espanyol,84.94500000000001,5.304,5,53.0,7.0847678861060785
Gerard Martín,Barcelona,22.785,63.988,6,19.0,22.969412726493463
Frenkie de Jong,Barcelona,34.964999999999996,42.84,6,20.0,19.099336140295566
Dani Olmo,Barcelona,43.260000000000005,25.636,6,23.0,25.494293008436223
Eric García,Barcelona,67.2,0.0,6,40.0,3.8137860453884933
Frenkie de Jong,Barcelona,66.99,3.808,6,40.0,2.9147296615638236
Eric García,Barcelona,64.575,2.176,6,41.0,11.366836147319095
Ronald Araújo,Barcelona,54.81,7.752000000000001,6,45.0,20.631088216572582
Andreas Christensen,Barcelona,56.595000000000006,31.552,6,51.0,11.700837576857474
Frenkie de Jong,Barcelona,64.785,24.48,6,57.0,18.85033477156308
Pedri,Barcelona,68.04,47.19200000000001,7,0.0,19.4287873013217
Gerard Martín,Barcelona,78.96,62.832,7,2.0,13.998244032734954
Pedri,Barcelona,66.78,58.48,7,6.0,11.721866916152901
Andreas Christensen,Barcelona,68.46000000000001,41.956,7,10.0,18.700000000000003
Leandro Cabrera,Espanyol,5.460000000000001,42.364,9,52.0,8.3097872415604
Joan García,Espanyol,4.41,34.476,9,55.0,41.17100805178323
Roberto Fernández,Espanyol,45.464999999999996,33.79600000000001,9,57.0,6.767644272566344
Wojciech Szczesny,Barcelona,11.55,19.855999999999998,10,4.0,21.62615314844506
Frenkie de Jong,Barcelona,40.845,35.7,10,14.0,15.696224896452012
Andreas Christensen,Barcelona,49.455000000000005,48.824,10,16.0,26.79101433316776
Gerard Martín,Barcelona,67.2,64.19200000000001,10,19.0,20.955759327688416
Andreas Christensen,Barcelona,49.875,49.572,10,24.0,30.806863131451735
