player,team,field_x,field_y,minute,second,pass_distance
Ronald Araújo,Barcelona,38.535000000000004,23.188000000000002,8,17.0,14.019806311072912
Pedri,Barcelona,47.46,34.204,8,18.0,10.72916101100175
Ronald Araújo,Barcelona,43.05,24.412,8,22.0,12.234910747528973
Eric García,Barcelona,44.31,9.520000000000001,8,25.0,16.730182336125335
Nico Williams,Athletic Club,60.269999999999996,61.336,8,27.0,6.974386281243673
Mikel Jauregizar,Athletic Club,53.76,58.275999999999996,8,28.0,16.123687047322644
Nico Williams,Athletic Club,78.435,42.84,8,34.0,13.3079450329493
Iñaki Peña,Barcelona,5.25,34.612,9,3.0,25.69118465544164
Ronald Araújo,Barcelona,47.03999999999999,31.892,9,5.0,30.716325040603405
Unai Simón,Athletic Club,8.19,31.756,9,18.0,11.476214053423718
Yuri Berchiche,Athletic Club,38.64,68.0,9,36.0,15.809493477021965
Íñigo Ruíz de Galarreta,Athletic Club,36.644999999999996,52.224000000000004,9,38.0,39.77430830322509
Nico Williams,Athletic Club,93.24,40.324,9,46.0,21.603055918087136
Íñigo Ruíz de Galarreta,Athletic Club,80.325,14.008000000000001,9,55.0,7.294697320656975
Óscar De Marcos,Athletic Club,76.44,10.267999999999999,9,58.0,9.87210798158123
Eric García,Barcelona,20.475,0.0,10,28.0,12.229046119792011
Gavi,Barcelona,10.184999999999999,8.432,10,30.0,31.154129758348244
Iñaki Peña,Barcelona,9.03,40.187999999999995,10,34.0,33.78414190119383
Alejandro Balde,Barcelona,32.025,58.548,10,40.0,27.32636179589226
Pedri,Barcelona,46.83,35.496,10,49.0,26.391511533066843
Alejandro Balde,Barcelona,49.245,61.812000000000005,10,52.0,9.771681585070192
Raphinha,Barcelona,58.589999999999996,64.66799999999999,10,54.0,17.51887054007763
Alejandro Balde,Barcelona,41.894999999999996,61.54,10,56.0,16.587750932540544
Pau Cubarsí,Barcelona,33.705,46.919999999999995,10,58.0,9.475259574280795
Gavi,Barcelona,41.26499999999999,41.344,11,0.0,9.729743264855452
Pedri,Barcelona,50.505,37.468,11,3.0,22.589895174612913
Fermín López,Barcelona,66.57000000000001,18.496000000000002,11,4.0,22.722001870433864
Ronald Araújo,Barcelona,44.205000000000005,22.508000000000003,11,7.0,17.479721851333903
Eric García,Barcelona,58.589999999999996,12.308000000000002,11,11.0,10.883348795292735
Gavi,Barcelona,49.455000000000005,18.224,11,12.0,11.988744721612854
Ronald Araújo,Barcelona,43.155,28.491999999999997,11,14.0,15.468665908862336
Pedri,Barcelona,74.55,30.464,11,19.0,14.900771825647162
Alejandro Balde,Barcelona,98.91000000000001,68.0,11,31.0,12.98829784844805
Gavi,Barcelona,93.24,63.443999999999996,11,35.0,2.3421835965611266
Raphinha,Barcelona,91.56,65.07600000000001,11,37.0,17.15524701075447
Pedri,Barcelona,74.02499999999999,54.672000000000004,11,39.0,38.98447692351406
Lamine Yamal,Barcelona,71.4,15.776,11,41.0,14.564861276373355
Eric García,Barcelona,64.05,14.008000000000001,11,46.0,8.962225225913482
Fermín López,Barcelona,73.185,14.824,11,47.0,13.001355352423845
Eric García,Barcelona,60.16499999999999,16.252,11,48.0,14.204873846676707
Ronald Araújo,Barcelona,55.440000000000005,29.648,11,51.0,13.267015489551516
Gavi,Barcelona,61.949999999999996,41.208,11,51.0,12.02717340026325
Ronald Araújo,Barcelona,56.489999999999995,31.076,11,57.0,13.224729713684134
Aitor Paredes,Athletic Club,34.125,37.943999999999996,12,1.0,11.751795139466997
Yuri Berchiche,Athletic Club,39.69,68.0,12,33.0,12.783760049375141
Eric García,Barcelona,58.06499999999999,0.0,12,46.0,26.811481887430237
Pau Cubarsí,Barcelona,47.565,38.284,12,51.0,12.92170654364198
Gavi,Barcelona,48.825,32.912,12,55.0,27.891169642021115
Maroan Sannadi,Athletic Club,56.385000000000005,11.288,13,0.0,9.80535853500524
Alex Berenguer,Athletic Club,50.085,17.272,13,1.0,12.532901340072852
Óscar De Marcos,Athletic Club,41.79,4.148,13,3.0,19.561370197406934
Mikel Jauregizar,Athletic Club,49.56,22.1,13,5.0,12.18683158167043
Pedri,Barcelona,32.025,41.616,13,29.0,24.91850655637292
Fermín López,Barcelona,69.825,35.768,13,30.0,16.79958439962132
