league_id,season_id,game_id,date,shot_id,team_id,player_id,assist_player_id,assist_player_name,shot_xg,shot_location_x,shot_location_y,shot_minute,shot_body_part,shot_situation,shot_result,is_goal,is_on_target,is_blocked,shot_distance_to_goal,shot_zone,is_assisted,match_id,data_source,field_x,field_y
4,2024,27324,2025-05-11 14:15:00,633593,148,8026,726737,Fermín López,0.03023558482527733,0.754000015258789,0.575999984741211,87,Left Foot,Open Play,Missed Shot,0,0,0,25.747230952733602,Penalty_Area_Edge,1,27324,understat,79.17000160217285,39.16799896240234
4,2024,27324,2025-05-11 14:15:00,633598,148,8026,726730,Lamine Yamal,0.3225257992744446,0.8930000305175781,0.3729999923706055,97,Right Foot,Open Play,Missed Shot,0,0,0,16.60662380109379,Six_Yard_Box,1,27324,understat,93.7650032043457,25.363999481201173
4,2024,27324,2025-05-11 14:15:00,633597,150,6560,726750,Luka Modric,0.037011198699474335,0.909000015258789,0.5109999847412109,91,,From Corner,Missed Shot,0,0,0,9.166240716459228,Six_Yard_Box,1,27324,understat,95.44500160217285,34.74799896240234
4,2024,27324,2025-05-11 14:15:00,633589,150,6421,726740,Lucas Vázquez,0.07737038284540176,0.8969999694824219,0.3629999923706055,74,Right Foot,Open Play,Blocked Shot,0,0,1,17.1400141123268,Six_Yard_Box,1,27324,understat,94.1849967956543,24.683999481201173
4,2024,27324,2025-05-11 14:15:00,633567,150,3423,,,0.7432776093482971,0.885,0.5,4,Right Foot,,Goal,1,1,0,11.5,Six_Yard_Box,0,27324,understat,92.925,34.0
4,2024,27324,2025-05-11 14:15:00,633568,150,3423,726748,Vinícius Júnior,0.3740031123161316,0.8590000152587891,0.5709999847412109,13,Right Foot,Open Play,Goal,1,1,0,15.786701216617072,Penalty_Box,1,27324,understat,90.19500160217285,38.82799896240235
4,2024,27324,2025-05-11 14:15:00,633584,150,3423,726748,Vinícius Júnior,0.11216496676206589,0.909000015258789,0.7140000152587891,55,Right Foot,Open Play,Missed Shot,0,0,0,23.254462744527682,Six_Yard_Box,1,27324,understat,95.44500160217285,48.552001037597655
4,2024,27324,2025-05-11 14:15:00,633586,150,3423,726748,Vinícius Júnior,0.5992851257324219,0.9230000305175782,0.5429999923706055,69,Left Foot,Open Play,Goal,1,1,0,8.81929398771014,Six_Yard_Box,1,27324,understat,96.91500320434571,36.92399948120117
4,2024,27324,2025-05-11 14:15:00,633596,150,3423,726743,Fran García,0.26067644357681274,0.8190000152587891,0.6580000305175782,90,Right Foot,Open Play,Saved Shot,0,1,0,24.026028410845228,Penalty_Area_Edge,1,27324,understat,85.99500160217285,44.74400207519531
4,2024,27324,2025-05-11 14:15:00,633592,150,7008,726751,Brahim Diaz,0.022317659109830856,0.8159999847412109,0.74,85,Right Foot,Open Play,Saved Shot,0,1,0,30.24169400269016,Penalty_Area_Edge,1,27324,understat,85.67999839782715,50.32
4,2024,27324,2025-05-11 14:15:00,633594,150,13279,726749,Kylian Mbappe-Lottin,0.33549484610557556,0.8669999694824219,0.455,88,Right Foot,Open Play,Missed Shot,0,0,0,14.040658146139986,Penalty_Box,1,27324,understat,91.0349967956543,30.94
