date,home_team,away_team,whoscored_id,understat_id,league,season
2025-08-17,Monaco,Nice,1911314,29598,FRA-Ligue 1,25-26
2025-08-24,Lorient,Monaco,1911376,29585,FRA-Ligue 1,25-26
2025-08-31,Monaco,Metz,1911366,29580,FRA-Ligue 1,25-26
2025-09-14,Auxerre,Monaco,1911330,29565,FRA-Ligue 1,25-26
2025-09-21,Monaco,Strasbourg,1911318,29563,FRA-Ligue 1,25-26
2025-09-28,Lille,Monaco,1911279,29555,FRA-Ligue 1,25-26
2025-10-05,Monaco,Le Havre,1911290,29540,FRA-Ligue 1,25-26
2025-09-18,Club Brugge,Monaco,1946451,,INT-Champions League,25-26
2025-10-02,Monaco,Manchester City,1946376,,INT-Champions League,25-26
