entity_type,entity_id,entity_name,team,minutes_active,total_actions,actions_per_minute,avg_x,avg_y,position_variance_x,position_variance_y,offensive_actions,defensive_actions,neutral_actions,passes_attempted,passes_completed,pass_completion_pct,progressive_passes,box_entries,xthreat_total,xthreat_per_action,pre_assists,carries,progressive_carries,carry_distance_total,passes_to_goal,passes_to_shot,key_passes,zone_id,zone_x_center,zone_y_center,possession_pct,action_density,progressive_actions,passes_through_zone,successful_passes
zone,Barcelona_zone_3,Def_Right,Barcelona,,25,,,,,,15,6,4,,,,,0,0.6066,0.0243,,,,,,,,3.0,11.98,82.19,2.4,1.92,0.0,12.0,11.0
zone,Barcelona_zone_4,DefMid_Left,Barcelona,,16,,,,,,9,3,4,,,,,0,0.1903,0.0119,,,,,,,,4.0,26.79,18.71,1.5,1.6,1.0,7.0,6.0
zone,Barcelona_zone_5,DefMid_Center,Barcelona,,35,,,,,,22,6,7,,,,,0,1.0123,0.0289,,,,,,,,5.0,25.91,51.04,3.3,1.52,3.0,14.0,13.0
zone,Barcelona_zone_6,DefMid_Right,Barcelona,,53,,,,,,34,8,11,,,,,0,1.2721,0.024,,,,,,,,6.0,26.67,80.32,5.0,2.12,1.0,22.0,16.0
zone,Barcelona_zone_7,Mid_Left,Barcelona,,45,,,,,,40,2,3,,,,,0,0.7883,0.0175,,,,,,,,7.0,42.26,21.93,4.2,1.88,3.0,22.0,20.0
zone,Barcelona_zone_8,Mid_Center,Barcelona,,72,,,,,,65,4,3,,,,,0,2.6896,0.0374,,,,,,,,8.0,42.04,48.62,6.8,2.06,8.0,44.0,40.0
zone,Barcelona_zone_9,Mid_Right,Barcelona,,94,,,,,,71,11,12,,,,,0,5.7623,0.0613,,,,,,,,9.0,41.0,84.23,8.9,2.76,4.0,59.0,51.0
zone,Barcelona_zone_10,AttMid_Left,Barcelona,,98,,,,,,83,6,9,,,,,1,1.704,0.0174,,,,,,,,10.0,59.44,19.67,9.2,2.58,11.0,69.0,62.0
zone,Barcelona_zone_11,AttMid_Center,Barcelona,,93,,,,,,85,5,3,,,,,1,3.8001,0.0409,,,,,,,,11.0,60.42,49.96,8.8,2.38,12.0,59.0,54.0
zone,Barcelona_zone_12,AttMid_Right,Barcelona,,83,,,,,,76,3,4,,,,,0,1.6651,0.0201,,,,,,,,12.0,59.27,82.35,7.8,2.59,6.0,58.0,56.0
zone,Barcelona_zone_13,Att_Left,Barcelona,,96,,,,,,77,8,11,,,,,6,1.9582,0.0204,,,,,,,,13.0,74.41,20.25,9.0,2.53,9.0,51.0,45.0
zone,Barcelona_zone_14,Att_Center,Barcelona,,101,,,,,,82,1,18,,,,,9,2.0983,0.0208,,,,,,,,14.0,74.39,49.65,9.5,2.97,2.0,56.0,51.0
zone,Barcelona_zone_15,Att_Right,Barcelona,,106,,,,,,100,0,6,,,,,8,1.3193,0.0124,,,,,,,,15.0,74.63,81.26,10.0,2.86,12.0,63.0,60.0
zone,Barcelona_zone_16,FinalThird_Left,Barcelona,,36,,,,,,27,2,7,,,,,2,0.2884,0.008,,,,,,,,16.0,91.28,20.14,3.4,1.8,2.0,19.0,10.0
zone,Barcelona_zone_17,FinalThird_Center,Barcelona,,22,,,,,,5,0,17,,,,,0,0.0518,0.0024,,,,,,,,17.0,90.74,52.09,2.1,1.69,0.0,3.0,2.0
