team,zone_id,events_count,xthreat_total,possession_pct
Athletic Club,1,27,0.0034957417999999987,4.778761061946903
Athletic Club,2,47,0.8101558514499998,8.31858407079646
Athletic Club,3,13,0.018718531439999936,2.3008849557522124
Athletic Club,4,24,0.21897183166999995,4.2477876106194685
Athletic Club,5,38,0.4882651494299998,6.725663716814159
Athletic Club,6,40,1.08390716287,7.079646017699115
Athletic Club,7,35,0.16114698189000004,6.1946902654867255
Athletic Club,8,37,1.7430376031999997,6.548672566371681
Athletic Club,9,37,1.3009681100699997,6.548672566371681
Athletic Club,10,38,0.96696616047,6.725663716814159
Athletic Club,11,37,0.36783926656,6.548672566371681
Athletic Club,12,38,0.21537623213000012,6.725663716814159
Athletic Club,13,32,0.16860121230000003,5.663716814159292
Athletic Club,14,36,0.3452491403300001,6.371681415929204
Athletic Club,15,35,0.1379262841000001,6.1946902654867255
Athletic Club,16,22,0.3129497309800001,3.893805309734513
Athletic Club,17,19,0.00307449219999998,3.3628318584070795
Athletic Club,18,10,0.30950845588999987,1.7699115044247788
Barcelona,1,42,0.1399348596799999,3.40632603406326
Barcelona,2,75,0.9341043637399998,6.082725060827251
Barcelona,3,31,0.3468697357499999,2.51419302514193
Barcelona,4,110,1.0856485576999997,8.921330089213301
Barcelona,5,122,2.748577866469999,9.89456609894566
Barcelona,6,61,1.6832459755499993,4.94728304947283
Barcelona,7,158,2.33571674133,12.814274128142742
Barcelona,8,151,7.662882241609999,12.246553122465532
Barcelona,9,87,3.31836693147,7.0559610705596105
Barcelona,10,89,0.7206571222799998,7.218167072181671
Barcelona,11,81,2.9337539994899995,6.569343065693431
Barcelona,12,56,1.5981134015700018,4.5417680454176805
Barcelona,13,32,0.31882351944999987,2.5952960259529605
Barcelona,14,37,0.6323736021599998,3.0008110300081103
Barcelona,15,50,1.189568074369999,4.0551500405515
Barcelona,16,15,0.18442422166000003,1.2165450121654502
Barcelona,17,17,0.0,1.37875101378751
Barcelona,18,19,0.6318472899400001,1.5409570154095702
