game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,qualifiers,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id,match_id,data_source,pass_length,is_longball,is_header,is_cross,is_through_ball,shot_body_part,is_assist,field_zone,is_successful,event_type,possession_sequence,next_player,distance_to_goal,pass_distance,event_id,take_ons_in_carry,xthreat,xthreat_gen,is_pre_assist,possession_id,possession_team,is_progressive,is_box_entry,pass_outcome,action_type,zone_id,xg
1913888,FirstHalf,0.0,30.5,0,Carry,Successful,65,Barcelona,384711.0,Ronald Araujo,45.4,68.7,53.8,75.4,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.63'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '68.7'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '16.2'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '45.4'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Center,True,Carry,9,Pau Cubarsí,53.94,23.82,15.5,0.0,0.13259523742000004,0.13259523742000004,False,11,Barcelona,False,False,,Offensive,9,0.0
1913888,FirstHalf,0.0,32.0,0,Pass,Successful,65,Barcelona,498386.0,Pau Cubarsí,53.8,75.4,68.2,94.5,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '68.2'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.71'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '94.5'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '19.9'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Right,True,Pass,9,Alejandro Balde,52.72,23.92,,,0.24909956086,0.24909956086,False,11,Barcelona,False,False,Retention,Offensive,12,0.0
1913888,FirstHalf,0.0,36.0,0,Pass,Successful,65,Barcelona,422938.0,Alejandro Balde,70.7,94.2,53.4,80.5,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '53.4'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '80.5'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.62'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '20.4'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Attacking_Right,True,Pass,9,Pau Cubarsí,53.03,22.07,,,-0.13286363042000016,0.0,False,11,Barcelona,False,False,Retention,Offensive,15,0.0
1913888,FirstHalf,0.0,38.0,0,Pass,Successful,65,Barcelona,498386.0,Pau Cubarsí,52.6,80.5,58.6,79.3,,,,,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '6.4'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '79.3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '58.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '6.15'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Right,True,Pass,9,Pedri,56.36,6.12,,,0.03906533837999998,0.03906533837999998,False,11,Barcelona,False,False,Retention,Offensive,12,0.0
1913888,FirstHalf,0.0,39.5,0,Carry,Successful,65,Barcelona,498386.0,Pau Cubarsí,58.6,79.3,55.7,73.0,,,,,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '6.4'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '79.3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '58.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '6.15'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Right,True,Carry,9,Pedri,56.36,6.12,18.5,0.0,-0.08911160287999986,0.0,False,11,Barcelona,False,False,,Offensive,12,0.0
1913888,FirstHalf,0.0,41.0,0,Pass,Successful,65,Barcelona,402197.0,Pedri,55.7,73.0,46.2,45.4,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '46.2'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '21.3'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '45.4'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.22'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Right,True,Pass,9,Ronald Araujo,49.91,29.19,,,-0.22542926342000003,0.0,False,11,Barcelona,False,False,Retention,Offensive,12,0.0
1913888,FirstHalf,0.0,44.0,0,Pass,Successful,65,Barcelona,384711.0,Ronald Araujo,45.4,46.0,44.5,25.2,,,,,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.65'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '25.2'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '14.2'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '44.5'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Center,True,Pass,9,Eric García,54.75,20.82,,,-0.05225704699999998,0.0,False,11,Barcelona,False,False,Retention,Offensive,8,0.0
1913888,FirstHalf,0.0,46.0,0,Pass,Successful,65,Barcelona,368091.0,Eric García,44.5,25.2,44.6,45.8,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '44.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '45.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '14.0'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.56'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Left,True,Pass,9,Ronald Araujo,60.79,20.6,,,0.048786059239999964,0.048786059239999964,False,11,Barcelona,False,False,Retention,Offensive,7,0.0
1913888,FirstHalf,0.0,47.5,0,Carry,Successful,65,Barcelona,368091.0,Eric García,44.6,45.8,42.8,49.1,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '44.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '45.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '14.0'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.56'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Left,True,Carry,9,Ronald Araujo,60.79,20.6,21.5,0.0,0.005165120400000001,0.005165120400000001,False,11,Barcelona,False,False,,Offensive,8,0.0
1913888,FirstHalf,0.0,49.0,0,Pass,Successful,65,Barcelona,384711.0,Ronald Araujo,42.8,49.1,44.8,68.7,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '44.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '68.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '13.5'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.41'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Center,True,Pass,9,Pau Cubarsí,57.21,19.7,,,0.0995381172,0.0995381172,False,11,Barcelona,False,False,Retention,Offensive,8,0.0
