league,season,game,team,player,league_id,season_id,game_id,date,shot_id,team_id,player_id,assist_player_id,assist_player,xg,location_x,location_y,minute,body_part,situation,result,x,y,is_goal,shot_body_part
ESP-La Liga,2526,2025-09-25 Real Oviedo-Barcelona,Barcelona,Ferrán Torres,4,2025,29213,2025-09-25 19:30:00,644323,148,6441,740174,Raphinha,0.05908873677253723,0.909000015258789,0.48700000762939455,57,,Open Play,Saved Shot,90.9000015258789,48.70000076293945,False,Head
ESP-La Liga,2526,2025-09-25 Real Oviedo-Barcelona,Barcelona,Ferrán Torres,4,2025,29213,2025-09-25 19:30:00,644329,148,6441,,,0.06738577038049698,0.7919999694824219,0.2879999923706055,80,Right Foot,Direct Freekick,Blocked Shot,79.19999694824219,28.799999237060547,False,Right Foot
ESP-La Liga,2526,2025-09-25 Real Oviedo-Barcelona,Barcelona,Ferrán Torres,4,2025,29213,2025-09-25 19:30:00,644330,148,6441,,,0.019943464547395706,0.8130000305175781,0.3189999961853027,80,Right Foot,Set Piece,Missed Shot,81.30000305175781,31.899999618530273,False,Right Foot
ESP-La Liga,2526,2025-10-26 Real Madrid-Barcelona,Barcelona,Ferrán Torres,4,2025,29254,2025-10-26 15:15:00,649665,148,6441,746828,Eric Garcia,0.08215520530939102,0.865,0.500999984741211,33,Right Foot,Open Play,Saved Shot,86.5,50.0999984741211,False,Right Foot
ESP-La Liga,2526,2025-10-26 Real Madrid-Barcelona,Barcelona,Ferrán Torres,4,2025,29254,2025-10-26 15:15:00,649673,148,6441,,,0.04482182115316391,0.805,0.514000015258789,49,Right Foot,Open Play,Saved Shot,80.5,51.4000015258789,False,Right Foot
ESP-La Liga,2526,2025-11-02 Barcelona-Elche,Barcelona,Ferrán Torres,4,2025,29260,2025-11-02 17:30:00,651705,148,6441,749397,Fermín López,0.5982621312141418,0.9330000305175781,0.47200000762939454,11,Right Foot,Open Play,Goal,93.30000305175781,47.20000076293945,True,Right Foot
ESP-La Liga,2526,2025-11-02 Barcelona-Elche,Barcelona,Ferrán Torres,4,2025,29260,2025-11-02 17:30:00,651712,148,6441,749391,Eric Garcia,0.036544669419527054,0.79,0.5379999923706055,38,Right Foot,From Corner,Saved Shot,79.0,53.79999923706055,False,Right Foot
ESP-La Liga,2526,2025-11-02 Barcelona-Elche,Barcelona,Ferrán Torres,4,2025,29260,2025-11-02 17:30:00,651714,148,6441,749394,Frenkie de Jong,0.4102748930454254,0.8690000152587891,0.5579999923706055,45,Left Foot,Open Play,Saved Shot,86.9000015258789,55.79999923706055,False,Left Foot
ESP-La Liga,2526,2025-11-09 Celta Vigo-Barcelona,Celta Vigo,Ferrán Jutglà,4,2025,29274,2025-11-09 20:00:00,653182,152,8549,,,0.019290773198008537,0.735999984741211,0.5370000076293945,12,Right Foot,Open Play,Missed Shot,73.5999984741211,53.700000762939446,False,Right Foot
ESP-La Liga,2526,2025-11-22 Barcelona-Athletic Club,Barcelona,Ferrán Torres,4,2025,29284,2025-11-22 15:15:00,653711,148,6441,752086,Dani Olmo,0.0450703389942646,0.8119999694824219,0.6359999847412109,31,Right Foot,Open Play,Missed Shot,81.19999694824219,63.59999847412109,False,Right Foot
ESP-La Liga,2526,2025-11-22 Barcelona-Athletic Club,Barcelona,Ferrán Torres,4,2025,29284,2025-11-22 15:15:00,653716,148,6441,752089,Lamine Yamal,0.3823167383670807,0.85,0.5729999923706055,47,Left Foot,Open Play,Goal,85.0,57.29999923706055,True,Left Foot
ESP-La Liga,2526,2025-11-22 Barcelona-Athletic Club,Barcelona,Ferrán Torres,4,2025,29284,2025-11-22 15:15:00,653732,148,6441,752089,Lamine Yamal,0.2939310669898987,0.8469999694824218,0.5070000076293946,89,Right Foot,Open Play,Goal,84.69999694824219,50.70000076293945,True,Right Foot
