player,team,x,y,end_x,end_y,minute,second,is_successful,outcome_type,field_x,field_y,field_end_x,field_end_y,pass_distance
Alejandro Balde,Barcelona,60.3,89.4,45.2,85.8,3,1.0,True,Successful,63.315,60.792,47.46,58.344,16.04287159457433
Pau Cubarsí,Barcelona,45.2,85.8,48.3,59.7,3,3.0,True,Successful,47.46,58.344,50.714999999999996,40.596,18.0440164320475
Gavi,Barcelona,48.3,59.7,57.9,70.5,3,6.0,True,Successful,50.714999999999996,40.596,60.794999999999995,47.94,12.471597171172583
Pedri,Barcelona,57.9,70.5,42.9,48.1,3,7.0,True,Successful,60.794999999999995,47.94,45.045,32.708000000000006,21.91064407998997
Ronald Araújo,Barcelona,53.1,41.3,63.0,6.1,3,11.0,True,Successful,55.755,28.084,66.15,4.148,26.095749098272695
Íñigo Ruíz de Galarreta,Athletic Club,23.1,77.1,27.6,87.2,3,23.0,True,Successful,24.255000000000003,52.428,28.980000000000004,59.296,8.336369053730769
Mikel Jauregizar,Athletic Club,33.3,89.0,42.5,97.7,3,25.0,True,Successful,34.964999999999996,60.52,44.625,66.43599999999999,11.32760592534892
Gavi,Barcelona,45.5,9.5,40.2,29.6,3,28.0,True,Successful,47.775,6.46,42.21,20.128000000000004,14.75748789598013
Ronald Araújo,Barcelona,36.7,30.2,40.7,38.2,3,33.0,True,Successful,38.535000000000004,20.535999999999998,42.735,25.976,6.872670514436145
Yuri Berchiche,Athletic Club,32.6,100.0,30.2,81.3,3,49.0,True,Successful,34.230000000000004,68.0,31.709999999999997,55.284,12.963296494333532
Unai Gómez,Athletic Club,31.3,75.5,27.4,65.0,3,51.0,True,Successful,32.865,51.34,28.769999999999996,44.2,8.230955290851728
Íñigo Ruíz de Galarreta,Athletic Club,25.9,62.3,7.2,49.3,3,53.0,True,Successful,27.195,42.364,7.5600000000000005,33.524,21.533202850481853
Unai Simón,Athletic Club,6.8,49.3,34.0,1.9,3,55.0,True,Successful,7.140000000000001,33.524,35.7,1.292,43.06478171313539
Óscar De Marcos,Athletic Club,34.0,1.9,60.8,4.6,3,59.0,True,Successful,35.7,1.292,63.839999999999996,3.128,28.199831488858223
Maroan Sannadi,Athletic Club,69.4,22.9,62.9,22.0,4,4.0,True,Successful,72.87,15.572,66.045,14.96,6.852384183625436
Íñigo Ruíz de Galarreta,Athletic Club,63.0,18.5,70.9,2.3,4,6.0,True,Successful,66.15,12.58,74.44500000000001,1.564,13.789825270829214
Óscar De Marcos,Athletic Club,66.5,2.9,71.8,20.1,4,7.0,True,Successful,69.825,1.972,75.39,13.668000000000001,12.952437647022277
Pau Cubarsí,Barcelona,31.3,63.6,31.7,26.0,4,46.0,True,Successful,32.865,43.248,33.285000000000004,17.68,25.57144939185106
Ronald Araújo,Barcelona,30.9,25.4,39.5,11.6,4,48.0,True,Successful,32.445,17.272,41.475,7.888,13.023070144938941
Eric García,Barcelona,40.4,10.3,35.2,24.5,4,50.0,True,Successful,42.419999999999995,7.0040000000000004,36.96,16.66,11.092787566702965
Ronald Araújo,Barcelona,39.4,31.9,45.8,39.7,4,58.0,True,Successful,41.37,21.692,48.089999999999996,26.996000000000002,8.561005548415443
Eric García,Barcelona,30.9,0.0,25.6,19.3,5,6.0,True,Successful,32.445,0.0,26.88,13.124,14.255125429121977
Ronald Araújo,Barcelona,42.1,38.8,51.8,94.4,5,16.0,True,Successful,44.205000000000005,26.383999999999997,54.39,64.19200000000001,39.15583084292811
Alejandro Balde,Barcelona,51.8,94.4,58.3,95.6,5,19.0,True,Successful,54.39,64.19200000000001,61.214999999999996,65.008,6.87360756808242
Raphinha,Barcelona,58.3,95.6,52.7,91.2,5,20.0,True,Successful,61.214999999999996,65.008,55.335,62.016000000000005,6.5974589047602175
Alejandro Balde,Barcelona,52.7,91.2,40.4,72.2,5,23.0,True,Successful,55.335,62.016000000000005,42.419999999999995,49.096,18.268104034080835
Pau Cubarsí,Barcelona,39.9,72.2,49.7,68.9,5,25.0,True,Successful,41.894999999999996,49.096,52.185,46.852000000000004,10.531839155627098
Gavi,Barcelona,49.7,68.9,37.0,43.1,5,26.0,True,Successful,52.185,46.852000000000004,38.85,29.308,22.0366549412564
Ronald Araújo,Barcelona,46.1,31.7,63.1,5.9,5,31.0,True,Successful,48.405,21.556,66.255,4.0120000000000005,25.028272733051313
Pau Cubarsí,Barcelona,53.9,78.9,63.8,92.3,5,52.0,True,Successful,56.595000000000006,53.652,66.99,62.763999999999996,13.82333422152556
